sigma l k
3.183783353813681716e-01 3.980594527571093000e-01 -5.019277919567899371e-02
3.293628297169541308e-01 4.234248010376728821e-01 -3.214625494214062851e-02
3.628658060335634428e-01 4.256262677881307299e-01 1.349552129727049632e-02
3.145888638147005811e-01 4.634686209266657975e-01 7.163162937071376746e-02
3.516235477332673165e-01 4.003753390474014129e-01 -3.966378902047451582e-02
3.724039543049070256e-01 3.943138846327454150e-01 2.307604871174229189e-02
3.260568494422910191e-01 4.777253918411514810e-01 -3.315463098100246420e-02
3.138036316884644794e-01 4.194954021065041561e-01 7.742740406642734108e-02
3.266606228637666809e-01 4.138457481012164374e-01 5.776314703013873952e-03
3.711334085304541786e-01 3.829035048539045638e-01 -3.003205894055060998e-02
3.447089271486545314e-01 4.044568125600098707e-01 4.848864493220728100e-02
3.172987463410150144e-01 4.287135103186603957e-01 -2.422166580024209814e-02
3.370259331199397801e-01 4.214161113438714690e-01 5.198424172334958904e-02
3.893780048697305651e-01 3.948326407829344520e-01 -8.085463747052956673e-02
3.435652726242296451e-01 4.266838910216919634e-01 -5.048795311940745822e-02
4.177504329318660892e-01 4.029065996753787848e-01 -7.854098438695955586e-02
3.956775743396812595e-01 3.764800631193995217e-01 -4.300195897694847336e-02
3.510641785926782998e-01 4.253928182762785060e-01 3.473069301294584577e-02
3.677633224450438387e-01 3.926224608211678624e-01 -5.432387581813524768e-03
3.625853373799124979e-01 4.335934514865454892e-01 -9.095435287529873847e-02
3.112593687111456786e-01 4.216340762078967241e-01 4.473204809126807291e-02
3.370754032898551356e-01 4.263939932395757193e-01 -1.856453031494809114e-02
4.415412374926916961e-01 3.852597629598405460e-01 -2.546112499352370939e-02
3.596379131258382600e-01 4.197333202923433926e-01 3.684840856262838749e-02
2.897681959642526839e-01 4.375828382684843754e-01 5.310354004234008052e-02
3.408877247059687310e-01 3.918581748909608642e-01 5.487642422284078059e-02
2.967281710318235843e-01 4.245524789385887177e-01 9.916093856877394863e-02
4.223370613228578097e-01 4.114223544935568522e-01 -3.788115957566007275e-03
3.423427260280963447e-01 4.266594628296219716e-01 -2.691249859296263036e-02
3.510488027209096584e-01 4.101232441383551586e-01 -3.854849054386633167e-02
3.830386442437281325e-01 4.034435194461463703e-01 5.247812014795472102e-02
3.541200051448084030e-01 4.090314800148304175e-01 9.805767165375778305e-02
3.519035054919636973e-01 3.792397234528738226e-01 3.869431022054414804e-02
3.076335675577406836e-01 4.119866060756578463e-01 1.378529404839690109e-02
3.558595074110061374e-01 3.903274275189267395e-01 -2.287817057278873634e-03
3.304244875903100120e-01 4.310787374868918498e-01 -3.601710908581445825e-02
3.370163600654023650e-01 4.068738090091600923e-01 1.939088775927140240e-01
3.643518338826968184e-01 3.913994445023946112e-01 8.008344132842903917e-02
3.539982671542398762e-01 3.974378200247477566e-01 -1.871991965143360304e-02
3.541898265247570565e-01 4.192344839099139131e-01 6.060715100934777055e-02
3.510333987936286038e-01 4.063139598361045213e-01 2.777849395414233591e-02
3.774612471687632809e-01 4.062773975234330592e-01 -5.750776878346997023e-02
4.312494529605536142e-01 4.055759075264042668e-01 1.374550930865332532e-01
4.236525957223257199e-01 4.067595158053859961e-01 3.043936505725985953e-03
3.838285779865742153e-01 4.903724110170699646e-01 9.730894005679080472e-02
3.986824897758546316e-01 3.675188441006528306e-01 4.941655584669879531e-02
3.543516654879748651e-01 4.079349576390864374e-01 -2.931466711048180684e-02
3.264566623192236561e-01 4.558247147741396055e-01 -3.325372361096889939e-02
3.266785470813404757e-01 3.974621313260184308e-01 -5.333733424723607897e-02
3.338748598314405513e-01 4.260987573163365072e-01 -3.335344669533668593e-02
3.359456524583054327e-01 4.060046711828806942e-01 6.257191581228860322e-02
3.631822469393317654e-01 3.888814117322710873e-01 6.886985752064878064e-02
3.638145991018894576e-01 4.038388196168708477e-01 2.251221726716279292e-02
3.711717353851075041e-01 3.983724409362671692e-01 9.474321423058373881e-03
3.005236913327051229e-01 4.458544983486683599e-01 2.183267345258133041e-02
3.165112909076460146e-01 4.079903003900171021e-01 5.114578118805979123e-02
3.489013137910953466e-01 4.181429524964746514e-01 -1.428861712914464288e-02
3.288135956076799205e-01 4.219343664664090832e-01 3.890016867491352670e-02
3.591748477029397812e-01 4.268814003208292740e-01 -1.190937061766661476e-02
4.132332590466322730e-01 3.986100144861551287e-01 1.000485749802300095e-01
3.023790409225261544e-01 4.644893082360819214e-01 -3.436169382293186025e-02
3.390090615727785472e-01 4.100614664517755470e-01 5.423194193324243351e-02
3.088305775924296004e-01 3.977423709746785718e-01 2.390278640073284500e-02
3.666569376763509358e-01 3.885969729868893885e-01 -1.210018832712889125e-01
3.473540246284298472e-01 4.179609932758368007e-01 5.218429334369556472e-03
3.652676680703096923e-01 4.099594037161635174e-01 3.827305470524855480e-02
3.670088314041032307e-01 4.243024263667457552e-01 2.380615410529540732e-02
3.226645571721098449e-01 4.145521389668939127e-01 7.903809468995648402e-02
3.376013695388523361e-01 4.232679647390723554e-01 -3.531516176471649615e-02
3.168408672722837216e-01 3.908365345803219149e-01 -4.484618378038118802e-02
4.178432466677200474e-01 3.837311502028026844e-01 1.313662144249525543e-01
3.576060112424467308e-01 4.145310937563932985e-01 -1.337807031472004748e-02
3.868952973074368251e-01 4.248268714105273292e-01 1.559882078847607545e-03
3.351715236228865469e-01 4.155252184133211846e-01 1.118592619299643154e-01
3.384339199350717142e-01 4.308288908502151404e-01 -3.310279358072376610e-02
3.468159541909459076e-01 4.211670129886133096e-01 3.633076757617370589e-03
3.243891537783756829e-01 4.024751530078709560e-01 -3.489194065511380671e-02
3.802771819102720996e-01 3.738849513047420303e-01 2.321248829035882366e-02
3.744174714720971964e-01 4.139883067666491057e-01 3.612941331461616556e-02
3.471707112409346818e-01 4.280290450666475177e-01 5.366592770863265471e-03
3.119647883711057501e-01 4.228800581424203564e-01 8.321611455082589259e-03
3.411844192265212072e-01 4.175140270935514542e-01 4.207952212519106006e-02
3.592631200328551544e-01 4.623116691218918106e-01 4.273340791010094009e-02
3.577516059813543592e-01 4.453812098090179639e-01 5.056522469576818501e-02
3.328616011681108100e-01 4.017620974475877849e-01 6.401401153849062275e-02
4.433294310694705365e-01 3.734775214147365574e-01 5.737974611684570903e-02
3.128191690578508988e-01 4.295526031063535144e-01 5.111118157195693179e-02
3.484726836270716221e-01 4.132726991088946367e-01 1.411819881563070034e-02
3.445747433562737494e-01 3.925749200131849470e-01 -5.333989585818121881e-02
3.456272121809504383e-01 4.341608630161032378e-01 -3.250617116719056732e-02
3.353921558321799057e-01 3.976230433570915324e-01 3.372669283254214889e-02
3.292777973835201433e-01 4.407919338749750060e-01 2.153594975721673244e-02
3.256048338497616323e-01 4.236990347311898053e-01 -3.256028588109605160e-02
3.825515689083851534e-01 3.933784977083958356e-01 6.026173896412312381e-02
3.699468519513758880e-01 4.395640619569312069e-01 -8.197195619484509699e-03
3.592772686227655998e-01 4.403965184088581286e-01 -6.077244543978399527e-02
3.750520745352878826e-01 4.241624088475140497e-01 -1.214565378970257070e-01
3.617422863361582364e-01 4.263146837730533711e-01 -5.844210764721791129e-02
3.564394260125506864e-01 4.329736866384490401e-01 -4.511990278777444630e-02
3.604251194513793943e-01 3.930055627931735573e-01 -3.291989218179180998e-02
3.317121556555058248e-01 4.417060536813945948e-01 6.162207789313511874e-02
3.494479610418014803e-01 4.016095081343296069e-01 9.533870841627889448e-02
3.665482692670650189e-01 3.798108491974666601e-01 -9.719802641248098674e-02
3.480236278680375883e-01 4.289212618120213927e-01 4.519405167470536000e-02
3.909434162365235110e-01 4.073532554152657914e-01 1.093267783353208955e-01
3.186982647382491929e-01 4.108205557906852157e-01 3.098046227725248514e-03
3.406874687758364439e-01 4.102773387983478237e-01 6.560030392221949391e-02
3.087106473500129122e-01 4.012244166605805074e-01 1.345526701515011858e-01
3.386237476337649599e-01 4.236469627161976725e-01 -1.449454566052932325e-02
3.347959171054235017e-01 4.329150601611846394e-01 5.519417872861409613e-02
3.434022737053011864e-01 4.232636711828221543e-01 -1.107352680372805098e-01
3.267441725095737715e-01 4.141245115741060689e-01 8.482247378433993568e-02
3.480246374286358746e-01 4.155519066449493426e-01 2.231979285430196747e-02
3.143856940045552384e-01 4.356260570153419054e-01 9.485475983241897779e-03
3.644579414023098041e-01 4.004921747163754375e-01 6.713960458622536542e-02
3.830363106258683481e-01 3.942940845670779293e-01 -3.117152890462593362e-02
4.171185835529312436e-01 3.630440066016646372e-01 6.316835593333380849e-02
3.267490527602556205e-01 4.125589848624705014e-01 1.275358543244136111e-01
3.553782752917112320e-01 4.419805420722953126e-01 1.015420051033300020e-02
3.380143495245984120e-01 4.123678989355333835e-01 9.711579857609065058e-02
3.549825698093191373e-01 4.034303369462291511e-01 6.219293146528337424e-02
3.504200735742855066e-01 4.269713919722764039e-01 -4.437043311174282412e-02
2.989879668856877948e-01 4.758821001257406702e-01 -3.311844589670909222e-02
