weight logl sigma l k
0.000000000000000000e+00 -5.940444124480515165e+04 1.404591823170397991e-02 2.904497367658429585e+00 -9.110920405072711059e-01
0.000000000000000000e+00 -5.073719735423880047e+04 1.623819817344274163e-03 1.982769655739701520e+01 -6.827031378227148561e-01
0.000000000000000000e+00 -4.423814301977281139e+04 9.199229551793974835e-03 1.454388631133446097e+01 -6.541030371312892555e-01
0.000000000000000000e+00 -3.895924621257551189e+04 6.788921454246032994e-04 1.681346027568126900e+00 -5.309178664723137597e-01
0.000000000000000000e+00 -3.594193020283302758e+04 1.663676254950707811e-02 1.651844249989529168e+00 -6.552302259929636552e-01
0.000000000000000000e+00 -3.571779179309729079e+04 9.031847365184919596e-03 9.471336299061224651e+00 -5.322673695872164323e-01
0.000000000000000000e+00 -3.292440769260219531e+04 2.209306849235537218e-02 1.925255537227349834e+01 -6.827809286262773725e-01
0.000000000000000000e+00 -3.043086643504775566e+04 4.154946202469922412e-03 8.930382025122689527e+00 -4.132735244240381967e-01
0.000000000000000000e+00 -2.943213129948144342e+04 4.044138301202837571e-02 2.461274553284762412e+00 -9.784545281143492979e-01
0.000000000000000000e+00 -2.235283288910459305e+04 4.932993844422461915e-02 2.086635801253771128e+00 -9.732449737233255238e-01
0.000000000000000000e+00 -1.925895197321957676e+04 2.141157567675633366e-03 1.686546765970637551e+01 -1.962021935853914822e-01
0.000000000000000000e+00 -1.916509781310061589e+04 5.109207374868607321e-02 1.523009442108745048e+01 -8.936481866172039101e-01
0.000000000000000000e+00 -1.895827279958681538e+04 6.006820103758969687e-03 5.138049138134808125e+00 9.067757451958715631e-01
0.000000000000000000e+00 -1.789557234370780498e+04 1.674150302368582199e-02 9.743679866817920754e+00 9.364002514706981639e-01
0.000000000000000000e+00 -1.726389333267953043e+04 5.697282229759748073e-02 1.109109203271852984e+01 -9.253729467299978140e-01
0.000000000000000000e+00 -1.590081264886858662e+04 2.397058920557304518e-02 1.542111974825082754e+01 -3.383919020709016401e-01
0.000000000000000000e+00 -1.509246414863740210e+04 3.191060230857067914e-02 8.943665535826541557e+00 -4.399057190591872946e-01
0.000000000000000000e+00 -1.467020224139963466e+04 3.252629978202548067e-02 1.396055362821625501e+01 9.683205798993357316e-01
0.000000000000000000e+00 -1.419684433765738686e+04 4.808884366366084073e-02 3.450070601066708154e+00 -6.688362344561396000e-01
0.000000000000000000e+00 -1.392996979488816396e+04 1.937722569292443797e-02 1.850012689734091609e+01 -2.125819724815591893e-01
0.000000000000000000e+00 -1.378889843433286478e+04 3.459487330012001038e-03 5.196114619299835979e+00 7.671050241553281079e-01
0.000000000000000000e+00 -1.367128150183221442e+04 3.597127214737805279e-02 1.962331474610530435e+01 9.633075102734807160e-01
0.000000000000000000e+00 -1.320578908051137478e+04 6.633935996103068611e-03 1.142854805654483741e+01 7.565575027784843254e-01
0.000000000000000000e+00 -1.288280110552166298e+04 1.169765328713123775e-02 2.465270817165408079e+00 7.662376226115921174e-01
0.000000000000000000e+00 -1.246699955239218434e+04 4.439584105485372412e-02 6.176934319474131740e+00 -5.436464770756872511e-01
0.000000000000000000e+00 -1.136780094091232968e+04 3.336028375554245251e-02 3.244442185756892805e+00 8.562792184475289670e-01
0.000000000000000000e+00 -1.129693302135936938e+04 6.058738371435912207e-02 3.606778531021590517e+00 -7.286962764770612555e-01
0.000000000000000000e+00 -1.113877553448017170e+04 4.626936394545233533e-02 7.424072383794539931e+00 -5.158441003159162097e-01
0.000000000000000000e+00 -1.072285167901647037e+04 6.103059935430954486e-02 1.400806645040165499e+01 -7.063327270397059543e-01
0.000000000000000000e+00 -1.061691659668386092e+04 6.058408032984430314e-02 8.910313501668154501e+00 -6.948769426366523394e-01
0.000000000000000000e+00 -1.051228632875166113e+04 1.745492114427227293e-02 1.137368810384345252e+01 -6.788771362424661504e-02
0.000000000000000000e+00 -1.033005428154346737e+04 1.747811870804549805e-02 1.145211614539937273e+01 7.049642012603472008e-01
