weight logl sigma l k
0.000000000000000000e+00 -5.940444124480515165e+04 1.404591823170397991e-02 1.452248683829214793e-01 4.445397974636444705e-02
0.000000000000000000e+00 -5.073719735423880047e+04 1.623819817344274163e-03 9.913848278698508265e-01 1.586484310886425719e-01
0.000000000000000000e+00 -4.423814301977281139e+04 9.199229551793974835e-03 7.271943155667230929e-01 1.729484814343553722e-01
0.000000000000000000e+00 -3.895924621257551189e+04 6.788921454246032994e-04 8.406730137840634498e-02 2.345410667638431201e-01
0.000000000000000000e+00 -3.594193020283302758e+04 1.663676254950707811e-02 8.259221249947645838e-02 1.723848870035181724e-01
0.000000000000000000e+00 -3.571779179309729079e+04 9.031847365184919596e-03 4.735668149530611881e-01 2.338663152063917838e-01
0.000000000000000000e+00 -3.292440769260219531e+04 2.209306849235537218e-02 9.626277686136748279e-01 1.586095356868613138e-01
0.000000000000000000e+00 -3.043086643504775566e+04 4.154946202469922412e-03 4.465191012561344763e-01 2.933632377879809017e-01
0.000000000000000000e+00 -2.943213129948144342e+04 4.044138301202837571e-02 1.230637276642381206e-01 1.077273594282535107e-02
0.000000000000000000e+00 -2.235283288910459305e+04 4.932993844422461915e-02 1.043317900626885564e-01 1.337751313833723810e-02
0.000000000000000000e+00 -1.925895197321957676e+04 2.141157567675633366e-03 8.432733829853187313e-01 4.018989032073042589e-01
0.000000000000000000e+00 -1.916509781310061589e+04 5.109207374868607321e-02 7.615047210543725020e-01 5.317590669139804493e-02
0.000000000000000000e+00 -1.895827279958681538e+04 6.006820103758969687e-03 2.569024569067404062e-01 9.533878725979357815e-01
0.000000000000000000e+00 -1.789557234370780498e+04 1.674150302368582199e-02 4.871839933408960155e-01 9.682001257353490820e-01
0.000000000000000000e+00 -1.726389333267953043e+04 5.697282229759748073e-02 5.545546016359265140e-01 3.731352663500109301e-02
0.000000000000000000e+00 -1.590081264886858662e+04 2.397058920557304518e-02 7.710559874125413327e-01 3.308040489645491800e-01
0.000000000000000000e+00 -1.509246414863740210e+04 3.191060230857067914e-02 4.471832767913270779e-01 2.800471404704063527e-01
0.000000000000000000e+00 -1.467020224139963466e+04 3.252629978202548067e-02 6.980276814108127281e-01 9.841602899496678658e-01
0.000000000000000000e+00 -1.419684433765738686e+04 4.808884366366084073e-02 1.725035300533354077e-01 1.655818827719302000e-01
0.000000000000000000e+00 -1.392996979488816396e+04 1.937722569292443797e-02 9.250063448670458044e-01 3.937090137592204053e-01
0.000000000000000000e+00 -1.378889843433286478e+04 3.459487330012001038e-03 2.598057309649918212e-01 8.835525120776640540e-01
0.000000000000000000e+00 -1.367128150183221442e+04 3.597127214737805279e-02 9.811657373052652398e-01 9.816537551367403580e-01
0.000000000000000000e+00 -1.320578908051137478e+04 6.633935996103068611e-03 5.714274028272419148e-01 8.782787513892421627e-01
0.000000000000000000e+00 -1.288280110552166298e+04 1.169765328713123775e-02 1.232635408582704040e-01 8.831188113057960587e-01
0.000000000000000000e+00 -1.246699955239218434e+04 4.439584105485372412e-02 3.088467159737066092e-01 2.281767614621563744e-01
0.000000000000000000e+00 -1.136780094091232968e+04 3.336028375554245251e-02 1.622221092878446402e-01 9.281396092237644835e-01
0.000000000000000000e+00 -1.129693302135936938e+04 6.058738371435912207e-02 1.803389265510795259e-01 1.356518617614693722e-01
0.000000000000000000e+00 -1.113877553448017170e+04 4.626936394545233533e-02 3.712036191897269966e-01 2.420779498420418951e-01
0.000000000000000000e+00 -1.072285167901647037e+04 6.103059935430954486e-02 7.004033225200827495e-01 1.468336364801470229e-01
0.000000000000000000e+00 -1.061691659668386092e+04 6.058408032984430314e-02 4.455156750834077251e-01 1.525615286816738303e-01
0.000000000000000000e+00 -1.051228632875166113e+04 1.745492114427227293e-02 5.686844051921726706e-01 4.660561431878766925e-01
0.000000000000000000e+00 -1.033005428154346737e+04 1.747811870804549805e-02 5.726058072699686807e-01 8.524821006301736004e-01
0.000000000000000000e+00 -1.015272062130342420e+04 3.665954304345087067e-02 5.689965601824242825e-02 9.492426713240541547e-01
0.000000000000000000e+00 -9.986720185762902474e+03 8.387936119984851224e-02 2.360865496507437156e-01 2.064163385014772256e-02
0.000000000000000000e+00 -9.856129860105942498e+03 7.197216978881015859e-02 9.982288022136698302e-01 9.823479465320761328e-02
0.000000000000000000e+00 -9.832286913919611834e+03 2.494910177473830259e-03 5.419176517014621108e-01 5.434717443081631405e-01
0.000000000000000000e+00 -9.546421228403060013e+03 2.309605918076829134e-03 4.118043636554558073e-02 5.490067936438984830e-01
