weight logl k
0.000000000000000000e+00 -2.306472485204602708e+05 -1.987018949487786568e+00
0.000000000000000000e+00 -2.304716928448264080e+05 -1.986099618015618073e+00
0.000000000000000000e+00 -2.296271319860627700e+05 -1.981671855601176535e+00
0.000000000000000000e+00 -2.292870379806882993e+05 -1.979886480364371870e+00
0.000000000000000000e+00 -2.286955338041656069e+05 -1.976778033138163249e+00
0.000000000000000000e+00 -2.261067124360759917e+05 -1.963124332791673421e+00
0.000000000000000000e+00 -2.260710152887524746e+05 -1.962935500408609979e+00
0.000000000000000000e+00 -2.260483752780283976e+05 -1.962815730284953375e+00
0.000000000000000000e+00 -2.251632235069180024e+05 -1.958128242323385226e+00
0.000000000000000000e+00 -2.247273984547242871e+05 -1.955816755518304806e+00
0.000000000000000000e+00 -2.235008714451686246e+05 -1.949299176428642699e+00
0.000000000000000000e+00 -2.228234968250333332e+05 -1.945691796742708313e+00
0.000000000000000000e+00 -2.219873588539700140e+05 -1.941231103358304733e+00
0.000000000000000000e+00 -2.173784458756000968e+05 -1.916485918722107940e+00
0.000000000000000000e+00 -2.172122062166294781e+05 -1.915588342053542448e+00
0.000000000000000000e+00 -2.155292224029658246e+05 -1.906481361436160427e+00
0.000000000000000000e+00 -2.155082961936698994e+05 -1.906367894476058478e+00
0.000000000000000000e+00 -2.150669055254219566e+05 -1.903973239870753176e+00
0.000000000000000000e+00 -2.138127428151085624e+05 -1.897155199779431811e+00
0.000000000000000000e+00 -2.124987552739053790e+05 -1.889989723009631195e+00
0.000000000000000000e+00 -2.111599962744156655e+05 -1.882665565905856209e+00
0.000000000000000000e+00 -2.106143205127797846e+05 -1.879673367080304747e+00
0.000000000000000000e+00 -2.101650158234830888e+05 -1.877206605872915546e+00
0.000000000000000000e+00 -2.096590789046735736e+05 -1.874425657085106778e+00
0.000000000000000000e+00 -2.094959816690050939e+05 -1.873528432086934981e+00
0.000000000000000000e+00 -2.094095924701000331e+05 -1.873053044388512944e+00
0.000000000000000000e+00 -2.069747232437001949e+05 -1.859612333259555328e+00
0.000000000000000000e+00 -2.068043868694323173e+05 -1.858669006260399215e+00
0.000000000000000000e+00 -2.054750062153046310e+05 -1.851293007969772031e+00
0.000000000000000000e+00 -2.044400888057196862e+05 -1.845533709568831782e+00
0.000000000000000000e+00 -2.033768554558954202e+05 -1.839601094951873517e+00
