weight logl k
0.000000000000000000e+00 -2.306472485204602708e+05 3.245262628053358078e-03
0.000000000000000000e+00 -2.304716928448264080e+05 3.475095496095481629e-03
0.000000000000000000e+00 -2.296271319860627700e+05 4.582036099705866228e-03
0.000000000000000000e+00 -2.292870379806882993e+05 5.028379908907032458e-03
0.000000000000000000e+00 -2.286955338041656069e+05 5.805491715459187851e-03
0.000000000000000000e+00 -2.261067124360759917e+05 9.218916802081644768e-03
0.000000000000000000e+00 -2.260710152887524746e+05 9.266124897847505260e-03
0.000000000000000000e+00 -2.260483752780283976e+05 9.296067428761656259e-03
0.000000000000000000e+00 -2.251632235069180024e+05 1.046793941915369341e-02
0.000000000000000000e+00 -2.247273984547242871e+05 1.104581112042379853e-02
0.000000000000000000e+00 -2.235008714451686246e+05 1.267520589283932519e-02
0.000000000000000000e+00 -2.228234968250333332e+05 1.357705081432292182e-02
0.000000000000000000e+00 -2.219873588539700140e+05 1.469222416042381685e-02
0.000000000000000000e+00 -2.173784458756000968e+05 2.087852031947301512e-02
0.000000000000000000e+00 -2.172122062166294781e+05 2.110291448661438807e-02
0.000000000000000000e+00 -2.155292224029658246e+05 2.337965964095989335e-02
0.000000000000000000e+00 -2.155082961936698994e+05 2.340802638098538058e-02
0.000000000000000000e+00 -2.150669055254219566e+05 2.400669003231170606e-02
0.000000000000000000e+00 -2.138127428151085624e+05 2.571120005514204720e-02
0.000000000000000000e+00 -2.124987552739053790e+05 2.750256924759220123e-02
0.000000000000000000e+00 -2.111599962744156655e+05 2.933360852353594783e-02
0.000000000000000000e+00 -2.106143205127797846e+05 3.008165822992381333e-02
0.000000000000000000e+00 -2.101650158234830888e+05 3.069834853177111356e-02
0.000000000000000000e+00 -2.096590789046735736e+05 3.139358572872330555e-02
0.000000000000000000e+00 -2.094959816690050939e+05 3.161789197826625486e-02
0.000000000000000000e+00 -2.094095924701000331e+05 3.173673890287176391e-02
0.000000000000000000e+00 -2.069747232437001949e+05 3.509691668511116802e-02
0.000000000000000000e+00 -2.068043868694323173e+05 3.533274843490019634e-02
0.000000000000000000e+00 -2.054750062153046310e+05 3.717674800755699227e-02
0.000000000000000000e+00 -2.044400888057196862e+05 3.861657260779205458e-02
0.000000000000000000e+00 -2.033768554558954202e+05 4.009972626203162083e-02
0.000000000000000000e+00 -2.030849990929466148e+05 4.050755206611389436e-02
0.000000000000000000e+00 -2.030149661285524489e+05 4.060545784034641503e-02
0.000000000000000000e+00 -2.029739488874461385e+05 4.066280788219966968e-02
0.000000000000000000e+00 -2.026336836255870585e+05 4.113879613031157234e-02
0.000000000000000000e+00 -2.024285667735176394e+05 4.142592873302308742e-02
0.000000000000000000e+00 -2.022830657194455562e+05 4.162969957514139896e-02
0.000000000000000000e+00 -2.010261499281416764e+05 4.339315032497181868e-02
0.000000000000000000e+00 -2.009125751720494300e+05 4.355277647774746796e-02
0.000000000000000000e+00 -2.005265211964727205e+05 4.409571431563774624e-02
0.000000000000000000e+00 -1.989262367149953498e+05 4.635211438038233656e-02
0.000000000000000000e+00 -1.980028400820183451e+05 4.765838371827058051e-02
0.000000000000000000e+00 -1.979136237825434073e+05 4.778475931516401598e-02
0.000000000000000000e+00 -1.975481376312583743e+05 4.830278181880520716e-02
0.000000000000000000e+00 -1.973822226237592986e+05 4.853810569320593515e-02
0.000000000000000000e+00 -1.973154146733141388e+05 4.863289102582701862e-02
0.000000000000000000e+00 -1.970260885415046650e+05 4.904357133074854769e-02
0.000000000000000000e+00 -1.966612853332557424e+05 4.956183241371669990e-02
0.000000000000000000e+00 -1.958918554092062986e+05 5.065656672785767700e-02
0.000000000000000000e+00 -1.950850984413799015e+05 5.180680621559963228e-02
0.000000000000000000e+00 -1.947932358105462044e+05 5.222353880548347149e-02
0.000000000000000000e+00 -1.946558286522377748e+05 5.241984608021654779e-02
0.000000000000000000e+00 -1.943414600102567638e+05 5.286924051317865025e-02
0.000000000000000000e+00 -1.938045170663800091e+05 5.363768078583086574e-02
0.000000000000000000e+00 -1.928002735272464342e+05 5.507786308125417474e-02
0.000000000000000000e+00 -1.924094742734624015e+05 5.563935847344969599e-02
0.000000000000000000e+00 -1.915021363473489764e+05 5.694529589865149344e-02
0.000000000000000000e+00 -1.911344497798140510e+05 5.747542350694501145e-02
0.000000000000000000e+00 -1.910117615594324889e+05 5.765243215052917591e-02
0.000000000000000000e+00 -1.909618028027310502e+05 5.772452713674669500e-02
0.000000000000000000e+00 -1.908833868789347762e+05 5.783770811968491632e-02
0.000000000000000000e+00 -1.890916019980106794e+05 6.043047218197550308e-02
0.000000000000000000e+00 -1.870472170524666144e+05 6.340438321977015512e-02
0.000000000000000000e+00 -1.869891211382432666e+05 6.348913977502768091e-02
0.000000000000000000e+00 -1.862238012269851170e+05 6.460694996295290871e-02
0.000000000000000000e+00 -1.848590813317445572e+05 6.660616880911940374e-02
0.000000000000000000e+00 -1.848498861173300538e+05 6.661966511252892520e-02
0.000000000000000000e+00 -1.844125911568496085e+05 6.726190934430920088e-02
0.000000000000000000e+00 -1.834142095118204597e+05 6.873118004386635782e-02
0.000000000000000000e+00 -1.833063107839237200e+05 6.889021807743433978e-02
0.000000000000000000e+00 -1.824029777021672053e+05 7.022360522858672738e-02
0.000000000000000000e+00 -1.823759102406293387e+05 7.026361173301443053e-02
0.000000000000000000e+00 -1.817961070007590461e+05 7.112132039615870482e-02
0.000000000000000000e+00 -1.813011728880263108e+05 7.185460719254865847e-02
0.000000000000000000e+00 -1.809314212167122168e+05 7.240310512423442368e-02
0.000000000000000000e+00 -1.799434711117952538e+05 7.387151856478491041e-02
0.000000000000000000e+00 -1.790821746366150328e+05 7.515510886110010613e-02
0.000000000000000000e+00 -1.788917540695678035e+05 7.543932588242396875e-02
0.000000000000000000e+00 -1.785115889240490505e+05 7.600722214420818634e-02
0.000000000000000000e+00 -1.784309762101619563e+05 7.612772343460416646e-02
0.000000000000000000e+00 -1.737329519379340345e+05 8.320001792329667634e-02
0.000000000000000000e+00 -1.732447895708502037e+05 8.394056791753479185e-02
0.000000000000000000e+00 -1.725284860400468751e+05 8.502918227232558745e-02
0.000000000000000000e+00 -1.717540548149141832e+05 8.620878986292812574e-02
0.000000000000000000e+00 -1.703750830770787725e+05 8.831611160284180695e-02
0.000000000000000000e+00 -1.690367044118583435e+05 9.036991956382189883e-02
0.000000000000000000e+00 -1.689407762344781368e+05 9.051745119256504601e-02
0.000000000000000000e+00 -1.689110050327593344e+05 9.056324634979340260e-02
0.000000000000000000e+00 -1.689029038888380164e+05 9.057570855581209557e-02
0.000000000000000000e+00 -1.686894394911455747e+05 9.090419893526247019e-02
0.000000000000000000e+00 -1.684925119796679937e+05 9.120743377923679063e-02
0.000000000000000000e+00 -1.678923087693872803e+05 9.213278656682755141e-02
0.000000000000000000e+00 -1.671465556577782554e+05 9.328494578667156922e-02
0.000000000000000000e+00 -1.649171497028258455e+05 9.674537745213906970e-02
0.000000000000000000e+00 -1.642045740047370782e+05 9.785656456234914646e-02
0.000000000000000000e+00 -1.641856953662967135e+05 9.788603802053175151e-02
0.000000000000000000e+00 -1.637161059437641234e+05 9.861973448311267543e-02
0.000000000000000000e+00 -1.627098042765517894e+05 1.001957116277801818e-01
0.000000000000000000e+00 -1.617662894998662232e+05 1.016779891129623303e-01
0.000000000000000000e+00 -1.613992277559565555e+05 1.022558693782060768e-01
0.000000000000000000e+00 -1.610600553582430002e+05 1.027904530925868309e-01
0.000000000000000000e+00 -1.605581873129979358e+05 1.035825486822405939e-01
0.000000000000000000e+00 -1.603387086034129607e+05 1.039293574081256999e-01
0.000000000000000000e+00 -1.600685181580022909e+05 1.043566391045752662e-01
0.000000000000000000e+00 -1.594932732934236992e+05 1.052675943660347224e-01
0.000000000000000000e+00 -1.594406510391045886e+05 1.053510124308365548e-01
0.000000000000000000e+00 -1.590504658363086055e+05 1.059699930232642640e-01
0.000000000000000000e+00 -1.588325972722107254e+05 1.063159600558790663e-01
0.000000000000000000e+00 -1.580545663234757958e+05 1.075534737223073911e-01
0.000000000000000000e+00 -1.571326665659323044e+05 1.090239528496402821e-01
0.000000000000000000e+00 -1.548117311632896017e+05 1.127460794425323432e-01
0.000000000000000000e+00 -1.541015180440501135e+05 1.138908903647866122e-01
0.000000000000000000e+00 -1.537507471643922909e+05 1.144573263158493726e-01
0.000000000000000000e+00 -1.532054730520691373e+05 1.153391977505754395e-01
0.000000000000000000e+00 -1.530336943253924255e+05 1.156173558012778546e-01
0.000000000000000000e+00 -1.529804913742764038e+05 1.157035395059360372e-01
0.000000000000000000e+00 -1.528749213898386806e+05 1.158745993098795335e-01
0.000000000000000000e+00 -1.527199571161247150e+05 1.161258070352771954e-01
0.000000000000000000e+00 -1.526486652616255742e+05 1.162414208743661748e-01
0.000000000000000000e+00 -1.523521043982225528e+05 1.167226568198711512e-01
0.000000000000000000e+00 -1.522495815492059919e+05 1.168891370905956739e-01
0.000000000000000000e+00 -1.517980945343277708e+05 1.176229777479929073e-01
0.000000000000000000e+00 -1.515708516452331387e+05 1.179927678861886209e-01
0.000000000000000000e+00 -1.514720660866061517e+05 1.181536112672758598e-01
0.000000000000000000e+00 -1.509985849079070322e+05 1.189253012135582654e-01
0.000000000000000000e+00 -1.509034802084390540e+05 1.190804578251095647e-01
0.000000000000000000e+00 -1.503859594119839312e+05 1.199256563613312343e-01
0.000000000000000000e+00 -1.497720264205286512e+05 1.209302922075844444e-01
0.000000000000000000e+00 -1.491469173106963281e+05 1.219554378913004777e-01
0.000000000000000000e+00 -1.487674607346619014e+05 1.225788259323647988e-01
0.000000000000000000e+00 -1.485137730183062085e+05 1.229960606555836611e-01
0.000000000000000000e+00 -1.477203894747955201e+05 1.243033403004930593e-01
0.000000000000000000e+00 -1.475737657295683166e+05 1.245453392432098738e-01
0.000000000000000000e+00 -1.474033413770773914e+05 1.248267791284276562e-01
0.000000000000000000e+00 -1.470922565142320236e+05 1.253409473986458744e-01
0.000000000000000000e+00 -1.457298281351255719e+05 1.275995531531566307e-01
