sigma l c d e
9.487769492581135666e-02 9.209237792939378719e-01 1.830969193239462278e-01 2.428191450419172476e-02 -3.285313611446825099e-01
1.058382582471853184e-01 9.904482659455625670e-01 2.252519023090715500e-01 2.197784906223341703e-02 -3.822324065420901196e-01
1.199118944547673954e-01 9.732124587494145329e-01 2.643459309562170567e-01 1.987841707308557818e-02 -4.063251527561970722e-01
1.063026855065307003e-01 1.042579601758929275e+00 2.028817879920672418e-01 2.354585341636437554e-02 -3.709914629638403349e-01
9.853523047248717581e-02 1.012084730469206439e+00 2.937431753185577588e-01 1.930257352614694888e-02 -4.477249099482714101e-01
1.041536297077968048e-01 9.424323180774029085e-01 1.866413555834141036e-01 2.449601300326430947e-02 -3.505958225286914809e-01
1.076937954161191341e-01 8.371813343337096702e-01 2.547598072032666305e-01 2.048189749369330737e-02 -4.100687508061909847e-01
9.670532585298619033e-02 8.232011569076479462e-01 2.175455390862546246e-01 2.275266378793322150e-02 -3.874708654398874019e-01
8.694476221398871052e-02 9.083291219366623759e-01 2.247090387585715110e-01 2.230055403696987529e-02 -3.857374178738582904e-01
1.024615836888718712e-01 9.801711880974461888e-01 2.047754892297399820e-01 2.337137852659203902e-02 -3.721881101894463084e-01
1.075606425116497900e-01 8.790394840171489310e-01 2.254932889920118200e-01 2.215361159130312813e-02 -3.825470265053120267e-01
9.871894316726496921e-02 1.049240496098704734e+00 2.062567853279089203e-01 2.313615380055291867e-02 -3.888831104345186196e-01
1.031922093065884005e-01 9.048103757477374831e-01 2.093544798336188784e-01 2.308068275822745818e-02 -3.811832654325494341e-01
8.382836273689467377e-02 9.282559155290550645e-01 1.697427511818847545e-01 2.486398229292100318e-02 -3.579899092449042586e-01
8.925138331262039149e-02 8.947257489175540757e-01 2.184310925833998773e-01 2.225292880667516238e-02 -3.718867847648161806e-01
1.052239994096943326e-01 9.278969816429505357e-01 1.671163244990041541e-01 2.468876853208876870e-02 -3.125413545672168780e-01
1.140842293559750642e-01 8.311271633151677829e-01 1.593935694842445461e-01 2.636598891632492558e-02 -3.565755833851672607e-01
9.778647322312991608e-02 9.201460789684957620e-01 1.924776446887648262e-01 2.343590342913436791e-02 -3.360611727761798617e-01
1.109451594096221433e-01 8.974094223641908563e-01 1.851014565595301420e-01 2.461163474218887315e-02 -3.459298657533872445e-01
1.107287451722726718e-01 8.213781177170030867e-01 1.913131381206700787e-01 2.396897082189131459e-02 -3.523938509703221644e-01
1.066768088304780038e-01 9.080532776657594951e-01 2.893658727399801567e-01 1.918237943865714126e-02 -4.182486725201307598e-01
1.040775076078780254e-01 1.084947689296175799e+00 2.594310695068067218e-01 2.077828817163026448e-02 -4.340970335545518699e-01
1.225070450019945523e-01 8.292839247083771959e-01 2.452833334869144455e-01 2.092831877755872011e-02 -3.954644895620821332e-01
9.323705777572761921e-02 1.031221112534255635e+00 2.181582491565279280e-01 2.238773923038198804e-02 -3.721218075270824599e-01
1.014006302493717371e-01 9.799299585089965570e-01 2.143671789171177622e-01 2.304268917609113634e-02 -3.811587109833260989e-01
1.027767478599779932e-01 9.472735908821878770e-01 2.087420231095609147e-01 2.297257682722373198e-02 -3.713104638138272628e-01
1.009906312179656013e-01 9.444036139769427241e-01 2.447317781680558024e-01 2.151783745844144252e-02 -4.108341790249591119e-01
1.053770378895883680e-01 7.584650571395923357e-01 2.020032243546849848e-01 2.300548201735095125e-02 -3.501376559436010227e-01
1.063248771513440882e-01 9.416045217162866132e-01 1.696071158011194235e-01 2.507500780282623590e-02 -3.341567915715819570e-01
1.052016596197405118e-01 9.177277828824692563e-01 2.359263286259496439e-01 2.194149445772038826e-02 -3.953332932377846554e-01
9.630760673406842109e-02 9.745534929664105839e-01 2.098564852658173496e-01 2.265046150812541695e-02 -3.571680810956640029e-01
9.831288807444141242e-02 8.901093460387304868e-01 2.812706178036474824e-01 2.016278830788091614e-02 -4.588499668288837929e-01
1.100938258072561987e-01 9.043653439439537367e-01 2.078821329582145605e-01 2.286834698341739039e-02 -3.746061013015252739e-01
9.177840055050377754e-02 9.931697565027550745e-01 2.443387639965084457e-01 2.117077084091205028e-02 -4.119364420830424756e-01
1.133093039382516293e-01 8.569827516448778049e-01 2.610000579766782458e-01 2.065043901455083236e-02 -4.360434993658454106e-01
9.178232462359268984e-02 8.478545326952678929e-01 1.637358659267251770e-01 2.569230223800590338e-02 -3.420525109754458670e-01
9.006776148200412724e-02 9.473434719444022711e-01 2.463182679066904246e-01 2.146571250901985542e-02 -4.337502074463215340e-01
1.055125638630803747e-01 8.451657094192593922e-01 1.937089196298977800e-01 2.396238531716044992e-02 -3.693716057136211539e-01
9.349709633485049631e-02 1.016622994249624989e+00 2.571268258442738208e-01 2.083960783012562060e-02 -4.461999662875686390e-01
1.059599547847689810e-01 8.714790850643001630e-01 2.274047162580867809e-01 2.155524630484841400e-02 -3.801030240536082960e-01
9.808678700553469243e-02 9.078578296639838729e-01 1.970262228229264778e-01 2.350273721453579115e-02 -3.708029006438638975e-01
1.094662033760377545e-01 8.750667892489226718e-01 2.575261033490738871e-01 2.054072110945933186e-02 -3.993763168354407256e-01
8.543093326957142131e-02 1.208521937419911874e+00 2.010582020764641875e-01 2.364015191715812536e-02 -3.864273429609376143e-01
1.092858063785350081e-01 8.708898980287245184e-01 2.094159953359135962e-01 2.352900123181923125e-02 -3.884921684728956937e-01
1.025215989386620841e-01 9.004477046253065442e-01 2.199075798643512769e-01 2.214823782536082253e-02 -3.721915751504465408e-01
9.901034802981963090e-02 9.769475199212718231e-01 2.425067517365002701e-01 2.127312703164845747e-02 -3.913383635373216540e-01
9.779679517345880868e-02 9.241134009072073940e-01 2.687859758613431183e-01 2.021942975270171750e-02 -4.121717614077236025e-01
1.024873356078572773e-01 1.031158940982902505e+00 1.802414808604280161e-01 2.516625349896680491e-02 -3.798288681389614396e-01
1.092858864705738009e-01 9.103104147891144526e-01 2.412155384300114225e-01 2.123299836040797722e-02 -3.935708258585421948e-01
