c d e
2.181567220951772246e-01 2.288003324338758540e-02 -4.097121023122097805e-01
2.274466991676771244e-01 2.228233144606688726e-02 -4.164887006899891109e-01
2.333508703423583519e-01 2.186640827421984859e-02 -4.123357826911225876e-01
2.395687855360020269e-01 2.174909467763429249e-02 -4.245032474733136940e-01
2.279756249638567045e-01 2.214137955345753944e-02 -4.091186201757320839e-01
2.241180938623759111e-01 2.251794824039142495e-02 -4.114777784095156044e-01
2.265469021897481561e-01 2.232640862497948728e-02 -4.051302912439366244e-01
2.241381033988929516e-01 2.239576666718153669e-02 -4.019094848336038917e-01
2.354822333518655775e-01 2.196983973818780397e-02 -4.178014490598986885e-01
2.256486012926732787e-01 2.236577865500048723e-02 -4.075627240143697705e-01
2.107453597618502705e-01 2.307518422464262253e-02 -3.983491464871888876e-01
2.335072888791707157e-01 2.208809772185268971e-02 -4.193121591766467704e-01
2.332898396098472826e-01 2.208464961788457817e-02 -4.218607385158438250e-01
2.233435944529165162e-01 2.264142848565889668e-02 -4.106041813156060538e-01
2.268036022227686299e-01 2.222222994945109026e-02 -4.079029769280414497e-01
2.410004923379229780e-01 2.162795576851419058e-02 -4.224699673557691382e-01
2.215422190068876418e-01 2.249481797435948921e-02 -3.981344683080499935e-01
2.285248228543663718e-01 2.234593374245524497e-02 -4.170806675928977469e-01
2.356385978845463303e-01 2.188391595218813768e-02 -4.212677503770587695e-01
2.175241722174041659e-01 2.279722703346426585e-02 -4.057871387168537902e-01
2.364813582552061089e-01 2.190733701090865834e-02 -4.274071785639069754e-01
2.308238196949394805e-01 2.197297310373309484e-02 -4.077796973201445185e-01
2.432791577227153557e-01 2.163683529756316518e-02 -4.301681936260692840e-01
2.247391051532374728e-01 2.231085868413820728e-02 -4.100200148072191686e-01
2.192455077005643904e-01 2.286494999381579601e-02 -4.109173521707031318e-01
2.307217241741135183e-01 2.213496151896118813e-02 -4.210306223373838641e-01
2.171364490262430724e-01 2.274546965243019400e-02 -4.001950488521122118e-01
2.420343566794092016e-01 2.170941138129278691e-02 -4.293036054898422549e-01
2.463533827047874603e-01 2.157977984070230670e-02 -4.380393414604876190e-01
2.297980042183418448e-01 2.233206245727465886e-02 -4.163191579042995194e-01
2.380574334590261909e-01 2.195938990594379844e-02 -4.269517872214625420e-01
2.491503236055334636e-01 2.118743746760919089e-02 -4.339523089801434752e-01
2.284392972793980459e-01 2.211496446692273743e-02 -4.088900201487264408e-01
2.234906745513789428e-01 2.237206665521061441e-02 -4.045580004629971693e-01
2.154310589834578238e-01 2.273522719089983088e-02 -3.855013216850329272e-01
2.336124459425454880e-01 2.197975251363428958e-02 -4.191456172098898536e-01
2.264768371749821263e-01 2.224430462943031289e-02 -4.066943551126861456e-01
2.223197563555063816e-01 2.245459397190775058e-02 -4.043407689446761877e-01
2.238953684605697880e-01 2.250675420183586781e-02 -4.126244293424193854e-01
2.487352141118204241e-01 2.130132329714998912e-02 -4.374952003546415114e-01
2.493342056723615308e-01 2.156867009755698492e-02 -4.448320364110184277e-01
2.263045561677350381e-01 2.234581531747605043e-02 -4.086371583638077620e-01
2.199312584470232146e-01 2.270429813726528370e-02 -4.102796485801960547e-01
2.298321550883628550e-01 2.212499831522385732e-02 -4.125235875536733543e-01
2.548550997031109322e-01 2.114316720477434422e-02 -4.402331187423400571e-01
2.301523775692086993e-01 2.205996988341290752e-02 -4.104211176845837805e-01
2.395486209854988946e-01 2.164992442606826148e-02 -4.236751081594662960e-01
2.188352822000432241e-01 2.267043595501099656e-02 -3.984183023311597127e-01
2.105913687322940042e-01 2.314845178576425966e-02 -3.946979871142800578e-01
2.385030347185266297e-01 2.191455128066992220e-02 -4.320385367021124523e-01
2.188887063954947365e-01 2.271784608664833074e-02 -4.057306891539335103e-01
2.284005876351382636e-01 2.212541673583791682e-02 -4.042627673291615542e-01
2.341433121443166065e-01 2.206531793967940816e-02 -4.271124565138650908e-01
2.222628456626432047e-01 2.249072845203622592e-02 -4.078819497023369323e-01
2.314184503697773732e-01 2.217015340351061181e-02 -4.186767345629927028e-01
2.233187172097526041e-01 2.247283392694652757e-02 -4.039530124713057724e-01
2.231610322519805845e-01 2.244485027716810674e-02 -4.071740236873412355e-01
2.154310589834578238e-01 2.273522719089983088e-02 -3.855013216850329272e-01
2.190310282901806183e-01 2.257070484021107826e-02 -3.998765581767733668e-01
2.175581542998632489e-01 2.270803657374161760e-02 -4.011503796849150705e-01
2.222975674567628790e-01 2.253073454431496134e-02 -4.010468369571640324e-01
2.232947874535360366e-01 2.244345454223413416e-02 -4.028522562914014227e-01
2.238810063204512701e-01 2.238459928906540164e-02 -4.027244236683580336e-01
2.266857191671114435e-01 2.226623022949759251e-02 -4.093695996148137839e-01
2.439876476491016355e-01 2.159507677072513079e-02 -4.347601697381194841e-01
