logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.000000000000000000e+03 -1.925502797794533976e+40 -1.925502797794533976e+40 1.760000000000000009e+00
-1.925502797794533976e+40 nan -1.000000000000000021e-03 1.000000000000000000e+03 -1.802844590972388081e+40 -1.802844590972388081e+40 1.010000000000000009e+00
-1.802844590972388081e+40 nan -2.000000000000000042e-03 1.000000000000000000e+03 -1.639232935953224712e+40 -1.639232935953224712e+40 1.629999999999999893e+00
-1.639232935953224712e+40 9.658003105104669389e+38 -3.000000000000000062e-03 1.000000000000000000e+03 -1.182572427740318362e+40 -1.182572427740318362e+40 1.276000000000000023e+00
-1.182572427740318362e+40 2.380933880604872871e+39 -4.000000000000000083e-03 1.000000000000000000e+03 -1.118963070381474626e+40 -1.118963070381474626e+40 3.699999999999999956e-01
-1.118963070381474626e+40 2.645375461962810317e+39 -5.000000000000000104e-03 1.000000000000000000e+03 -1.067845694477350103e+40 -1.067845694477350103e+40 8.439999999999999725e-01
-1.067845694477350103e+40 2.014605010086691835e+39 -6.000000000000000125e-03 1.000000000000000000e+03 -5.789374898216569250e+39 -5.789374898216569250e+39 3.499999999999999778e-01
-5.789374898216569250e+39 3.664867783487096154e+39 -7.000000000000000146e-03 1.000000000000000000e+03 -5.215211034311292547e+39 -5.215211034311292547e+39 6.680000000000000382e-01
-5.215211034311292547e+39 3.670662159443132887e+39 -8.000000000000000167e-03 1.000000000000000000e+03 -4.601817258887247953e+39 -4.601817258887247953e+39 1.147999999999999909e+00
-4.601817258887247953e+39 3.884241887812673963e+38 -9.000000000000001055e-03 1.000000000000000000e+03 -4.255932364233714801e+39 -4.255932364233714801e+39 5.340000000000000302e-01
-4.255932364233714801e+39 2.808933288350485607e+38 -1.000000000000000194e-02 1.000000000000000000e+03 -3.503247251920888612e+39 -3.503247251920888612e+39 1.008000000000000007e+00
-3.503247251920888612e+39 4.527005038380067598e+38 -1.100000000000000283e-02 1.000000000000000000e+03 -3.291595982811472529e+39 -3.291595982811472529e+39 1.417999999999999927e+00
-3.291595982811472529e+39 4.608435481671869010e+38 -1.200000000000000372e-02 1.000000000000000000e+03 -3.023192514918527095e+39 -3.023192514918527095e+39 7.599999999999999811e-02
-3.023192514918527095e+39 5.135627720486777581e+38 -1.300000000000000461e-02 1.000000000000000000e+03 -3.006278933089756765e+39 -3.006278933089756765e+39 9.459999999999999520e-01
-3.006278933089756765e+39 7.323795766350984991e+36 -1.400000000000000550e-02 1.000000000000000000e+03 -2.977342389027828497e+39 -2.977342389027828497e+39 1.000000000000000000e+00
-2.977342389027828497e+39 1.792428499454389021e+37 -1.500000000000000638e-02 1.000000000000000000e+03 -2.780605641152781429e+39 -2.780605641152781429e+39 5.580000000000000515e-01
-2.780605641152781429e+39 1.053971948126825362e+38 -1.600000000000000727e-02 1.000000000000000000e+03 -2.687805161632393121e+39 -2.687805161632393121e+39 1.680000000000000104e-01
-2.687805161632393121e+39 9.390503657501692595e+37 -1.700000000000000816e-02 1.000000000000000000e+03 -2.195658120751563619e+39 -2.195658120751563619e+39 1.380000000000000115e-01
-2.195658120751563619e+39 2.460735204404147886e+38 -1.800000000000000905e-02 1.000000000000000000e+03 -1.787931741617630559e+39 -1.787931741617630559e+39 1.900000000000000022e-01
-1.787931741617630559e+39 3.441480247692292902e+38 -1.900000000000000994e-02 1.000000000000000000e+03 -1.557412065641883089e+39 -1.557412065641883089e+39 1.346000000000000085e+00
-1.557412065641883089e+39 3.612461322537740602e+38 -2.000000000000001082e-02 1.000000000000000000e+03 -1.554679122601671507e+39 -1.554679122601671507e+39 1.096000000000000085e+00
-1.554679122601671507e+39 6.413751394337502253e+37 -2.100000000000001171e-02 1.000000000000000000e+03 -1.227110469937856147e+39 -1.227110469937856147e+39 1.304000000000000048e+00
-1.227110469937856147e+39 1.230961368451428073e+38 -2.200000000000001260e-02 1.000000000000000000e+03 -1.196891858323126478e+39 -1.196891858323126478e+39 4.460000000000000075e-01
-1.196891858323126478e+39 1.305545580752717280e+38 -2.300000000000001349e-02 1.000000000000000000e+03 -9.461081591984251615e+38 -9.461081591984251615e+38 7.399999999999999911e-01
-9.461081591984251615e+38 6.931295279450118084e+37 -2.400000000000001438e-02 1.000000000000000000e+03 -8.026589397637728577e+38 -8.026589397637728577e+38 1.417999999999999927e+00
-8.026589397637728577e+38 6.211533409172864380e+37 -2.500000000000001527e-02 1.000000000000000000e+03 -8.014725373429164781e+38 -8.014725373429164781e+38 5.140000000000000124e-01
-8.014725373429164781e+38 5.372827513041807737e+37 -2.600000000000001615e-02 1.000000000000000000e+03 -7.058853123009011145e+38 -7.058853123009011145e+38 2.179999999999999993e-01
-7.058853123009011145e+38 8.656748816853026900e+37 -2.700000000000001704e-02 1.000000000000000000e+03 -6.842824331470149074e+38 -6.842824331470149074e+38 1.032000000000000028e+00
-6.842824331470149074e+38 9.861039900153467596e+37 -2.800000000000001793e-02 1.000000000000000000e+03 -5.241352017179637765e+38 -5.241352017179637765e+38 7.159999999999999698e-01
-5.241352017179637765e+38 1.571056417506554418e+38 -2.900000000000001882e-02 1.000000000000000000e+03 -4.841190655417166122e+38 -4.841190655417166122e+38 9.959999999999999964e-01
-4.841190655417166122e+38 1.265419039727196620e+38 -3.000000000000001971e-02 1.000000000000000000e+03 -4.683012538242832346e+38 -4.683012538242832346e+38 1.717999999999999972e+00
-4.683012538242832346e+38 1.541489386712264365e+37 -3.100000000000002059e-02 1.000000000000000000e+03 -4.170952635543200010e+38 -4.170952635543200010e+38 3.200000000000000067e-02
-4.170952635543200010e+38 3.473106355471138806e+37 -3.200000000000002148e-02 1.000000000000000000e+03 -3.665724216022045207e+38 -3.665724216022045207e+38 1.201999999999999957e+00
-3.665724216022045207e+38 5.095081367335457709e+37 -3.300000000000002237e-02 1.000000000000000000e+03 -3.403541906346265866e+38 -3.403541906346265866e+38 1.637999999999999901e+00
-3.403541906346265866e+38 6.245947484078321970e+37 -3.400000000000002326e-02 1.000000000000000000e+03 -3.092952699850620332e+38 -3.092952699850620332e+38 1.340000000000000080e-01
-3.092952699850620332e+38 4.400489599218889891e+37 -3.500000000000002415e-02 1.000000000000000000e+03 -2.679950887857881142e+38 -2.679950887857881142e+38 1.108000000000000096e+00
-2.679950887857881142e+38 5.462938699217745584e+37 -3.600000000000002504e-02 1.000000000000000000e+03 -2.223916039006580505e+38 -2.223916039006580505e+38 1.637999999999999901e+00
-2.223916039006580505e+38 3.754705102568484646e+37 -3.700000000000002592e-02 1.000000000000000000e+03 -2.189967260716393200e+38 -2.189967260716393200e+38 2.560000000000000053e-01
-2.189967260716393200e+38 2.481828279552829516e+37 -3.800000000000002681e-02 1.000000000000000000e+03 -1.948056122491052839e+38 -1.948056122491052839e+38 1.038000000000000034e+00
-1.948056122491052839e+38 1.099422594449838634e+37 -3.900000000000002770e-02 1.000000000000000000e+03 -1.580483713822815508e+38 -1.580483713822815508e+38 1.199999999999999956e+00
-1.580483713822815508e+38 2.684670719344258194e+37 -4.000000000000002859e-02 1.000000000000000000e+03 -1.547619315928175770e+38 -1.547619315928175770e+38 5.300000000000000266e-01
-1.547619315928175770e+38 1.096967699109941165e+37 -4.100000000000002948e-02 1.000000000000000000e+03 -1.175871311587638830e+38 -1.175871311587638830e+38 3.019999999999999907e-01
-1.175871311587638830e+38 2.455830424158934978e+37 -4.200000000000003036e-02 1.000000000000000000e+03 -1.165583042940104002e+38 -1.165583042940104002e+38 1.991999999999999993e+00
-1.165583042940104002e+38 1.423765127119991999e+37 -4.300000000000003125e-02 1.000000000000000000e+03 -1.021030576925269447e+38 -1.021030576925269447e+38 7.399999999999999911e-01
-1.021030576925269447e+38 1.455414388415857249e+37 -4.400000000000003214e-02 1.000000000000000000e+03 -9.857818272984411633e+37 -9.857818272984411633e+37 3.079999999999999960e-01
-9.857818272984411633e+37 1.526315631423527339e+36 -4.500000000000003303e-02 1.000000000000000000e+03 -8.728967134409367783e+37 -8.728967134409367783e+37 1.901999999999999913e+00
