weight logl c d e
0.000000000000000000e+00 -1.925502797794533976e+40 8.050660223904861912e-01 4.972023807832767761e-01 3.921678330529627665e-01
0.000000000000000000e+00 -1.802844590972388081e+40 7.874456292232736576e-01 4.970775774180863360e-01 -7.639184161127154926e-01
0.000000000000000000e+00 -1.639232935953224712e+40 7.365019356628217384e-01 4.973011637983795197e-01 -9.825357651078947541e-02
0.000000000000000000e+00 -1.182572427740318362e+40 -9.065246252752610090e-01 4.930063723157805944e-01 6.655351312145094678e-01
0.000000000000000000e+00 -1.118963070381474626e+40 -4.923679825269962063e-01 4.997526763161539431e-01 -4.445163165490297885e-01
0.000000000000000000e+00 -1.067845694477350103e+40 -5.906749840179903455e-01 4.973747132983160069e-01 9.549520686433754513e-02
0.000000000000000000e+00 -5.789374898216569250e+39 -8.087146514262013586e-01 4.901934447586893673e-01 9.118716444801908683e-01
0.000000000000000000e+00 -5.215211034311292547e+39 8.091230027551949977e-01 4.895829443666662728e-01 -3.594831598694261388e-01
0.000000000000000000e+00 -4.601817258887247953e+39 -8.629590101366397814e-01 4.881126693465340782e-01 7.964977334314127244e-01
0.000000000000000000e+00 -4.255932364233714801e+39 3.183168750436613514e-01 4.992067817143584496e-01 -9.718257569075465785e-01
0.000000000000000000e+00 -3.503247251920888612e+39 2.982585766389518334e-01 4.988337413852679258e-01 -4.150992836129878683e-01
0.000000000000000000e+00 -3.291595982811472529e+39 -7.712884394717736125e-01 4.874731054373686590e-01 5.097313542859793767e-01
0.000000000000000000e+00 -3.023192514918527095e+39 -6.539050739505443133e-01 4.888923435849881760e-01 2.930925659842325004e-01
0.000000000000000000e+00 -3.006278933089756765e+39 -2.902477191008085988e-01 4.982634123994780229e-01 -4.940590033876652853e-01
0.000000000000000000e+00 -2.977342389027828497e+39 -8.935403096460206029e-01 4.851884823151886295e-01 -7.714457645632948335e-01
0.000000000000000000e+00 -2.780605641152781429e+39 6.503829335592599126e-01 4.884706268840716126e-01 5.887538644211691707e-01
0.000000000000000000e+00 -2.687805161632393121e+39 7.599438129300450928e-01 4.864714300165822181e-01 -8.429477806255498695e-01
0.000000000000000000e+00 -2.195658120751563619e+39 -7.489218040852756442e-01 4.854696641167274285e-01 2.656753259433943803e-01
0.000000000000000000e+00 -1.787931741617630559e+39 -2.596575870177033618e-01 4.965448780550408281e-01 2.133049141648801772e-01
0.000000000000000000e+00 -1.557412065641883089e+39 9.896720231525992784e-01 4.802530634276081511e-01 4.629820438654002057e-01
0.000000000000000000e+00 -1.554679122601671507e+39 2.088447519884939485e-01 4.982567751243443532e-01 -2.922733621969517692e-01
0.000000000000000000e+00 -1.227110469937856147e+39 5.061671620836554197e-01 4.866375497335422851e-01 -4.635665065175123001e-01
0.000000000000000000e+00 -1.196891858323126478e+39 -8.071661283132689491e-01 4.810891611596919692e-01 9.760690124850501803e-02
0.000000000000000000e+00 -9.461081591984251615e+38 2.552907085508571150e-01 4.930570531531852652e-01 3.014056227651775721e-01
0.000000000000000000e+00 -8.026589397637728577e+38 2.693148607287705332e-01 4.914860376777643314e-01 8.370427848013517469e-02
0.000000000000000000e+00 -8.014725373429164781e+38 3.663629254510101241e-01 4.879142613820702246e-01 5.935424046398174447e-01
0.000000000000000000e+00 -7.058853123009011145e+38 -4.596647433553175954e-01 4.845519056467610386e-01 -8.700103998093664526e-01
0.000000000000000000e+00 -6.842824331470149074e+38 -9.940339223433938276e-01 4.754396130077118698e-01 2.963407349925506473e-01
0.000000000000000000e+00 -5.241352017179637765e+38 5.639034861573226642e-01 4.804612334106980187e-01 3.674895854534554474e-02
0.000000000000000000e+00 -4.841190655417166122e+38 -9.954615857341657659e-01 4.734189258510083653e-01 1.524580337305512234e-01
0.000000000000000000e+00 -4.683012538242832346e+38 1.249372115448150744e-01 4.972591650646046024e-01 5.487252418394690245e-01
0.000000000000000000e+00 -4.170952635543200010e+38 -6.054313700887354877e-01 4.783154807001316899e-01 4.898848374913533643e-01
0.000000000000000000e+00 -3.665724216022045207e+38 -7.512727452261440675e-01 4.750679880130999067e-01 3.033764262534575096e-01
0.000000000000000000e+00 -3.403541906346265866e+38 4.890377959678584574e-01 4.796107303969265323e-01 3.830611916415944673e-01
0.000000000000000000e+00 -3.092952699850620332e+38 -7.431245965071187065e-01 4.742103427349894096e-01 5.506165329512380247e-02
0.000000000000000000e+00 -2.679950887857881142e+38 5.852574784928494811e-01 4.761463554979991630e-01 5.312700102449348094e-01
0.000000000000000000e+00 -2.223916039006580505e+38 3.407787597671307900e-01 4.813297456134363883e-01 -1.619024648536346866e-01
0.000000000000000000e+00 -2.189967260716393200e+38 -7.813244925671767316e-01 4.716302036469657288e-01 6.703646662898345987e-01
0.000000000000000000e+00 -1.948056122491052839e+38 5.756206114759967463e-01 4.744914340665213892e-01 9.912280968698130579e-01
0.000000000000000000e+00 -1.580483713822815508e+38 -7.628388969920165685e-01 4.700184857960604257e-01 2.373632218372705438e-01
0.000000000000000000e+00 -1.547619315928175770e+38 3.530131425078029128e-01 4.788218604028579017e-01 2.308208734467100953e-01
0.000000000000000000e+00 -1.175871311587638830e+38 -7.946346972060427394e-01 4.678325354813931414e-01 4.073449901556205344e-01
0.000000000000000000e+00 -1.165583042940104002e+38 -1.700609317671464282e-01 4.856382065908018131e-01 -6.057531723900395626e-01
0.000000000000000000e+00 -1.021030576925269447e+38 -7.665676524914752932e-01 4.674312480879805887e-01 -1.386945327488444679e-01
0.000000000000000000e+00 -9.857818272984411633e+37 2.035467222310125557e-01 4.825867467754547668e-01 3.639674770776921697e-01
0.000000000000000000e+00 -8.728967134409367783e+37 8.822966249024604135e-01 4.648942875143572961e-01 9.026344533958026162e-01
0.000000000000000000e+00 -8.409995413171549412e+37 -3.873219183877480987e-01 4.742156982567999335e-01 -4.248995134698982934e-01
0.000000000000000000e+00 -8.170113692890888361e+37 4.452858050771313358e-01 4.724327097485614413e-01 8.158564246699788747e-01
0.000000000000000000e+00 -7.989764663311370505e+37 3.853551409857389753e-01 4.739777963095728186e-01 -2.094889264856949485e-01
0.000000000000000000e+00 -7.242728800169091428e+37 4.032816692629492827e-02 4.995454264104594033e-01 -9.323814953935920524e-01
0.000000000000000000e+00 -7.106681081148382521e+37 2.789532717544107587e-01 4.770420486179132169e-01 -4.338046071896286549e-01
0.000000000000000000e+00 -7.034437039888600550e+37 -2.093553824717517831e-01 4.803069317714574460e-01 -9.429085910483085975e-01
0.000000000000000000e+00 -6.833646777575049519e+37 9.316079399773871117e-01 4.628461329538489655e-01 3.887859282274093164e-01
0.000000000000000000e+00 -6.773617075790757500e+37 2.952504504671447094e-01 4.761064396464432247e-01 -1.109166139441029042e-01
0.000000000000000000e+00 -6.089405571212866291e+37 -8.233531080399691948e-01 4.636093510242994542e-01 -2.785030645951362960e-01
0.000000000000000000e+00 -5.926951617763491547e+37 9.344089586179287199e-01 4.619866905185164296e-01 -7.618545697558769536e-01
0.000000000000000000e+00 -5.046159567978538987e+37 -9.146357880352693481e-01 4.613024601613724962e-01 -1.925470502947845830e-02
0.000000000000000000e+00 -4.827392474423345491e+37 5.010235867474901461e-01 4.680188802845450802e-01 -1.562090500166046780e-01
0.000000000000000000e+00 -4.747144008533133563e+37 -7.794820138236597806e-01 4.628012335594441362e-01 -7.366321001209765740e-01
0.000000000000000000e+00 -4.596798042298247342e+37 -2.768978805202115812e-01 4.746046148756402627e-01 -9.945641588081435280e-01
0.000000000000000000e+00 -4.395776970542471739e+37 -2.512553939935913139e-01 4.754712418040683009e-01 3.686349753469901902e-01
0.000000000000000000e+00 -4.124573059152600911e+37 9.665750769179761726e-01 4.594941129002825808e-01 8.798310418532788724e-01
0.000000000000000000e+00 -3.753858186808269915e+37 -5.531459148597814846e-01 4.654153515649806505e-01 2.044735186461643650e-03
0.000000000000000000e+00 -3.649951067771346332e+37 -6.017500766308214732e-01 4.642769896844116673e-01 -8.207508572275734604e-01
0.000000000000000000e+00 -3.625528946272479245e+37 -5.807179492607297266e-01 4.646502882258971567e-01 -2.621947358114624649e-01
0.000000000000000000e+00 -3.426755848690913821e+37 -9.139270872213900443e-01 4.590692463814003421e-01 -2.364235722950422947e-01
0.000000000000000000e+00 -3.373807738322839464e+37 -4.166614762178146858e-01 4.680796638719758596e-01 -6.661306486983820108e-01
0.000000000000000000e+00 -2.636505074016372902e+37 2.502805164655568237e-01 4.725557218134932014e-01 -1.672912932474679426e-01
0.000000000000000000e+00 -2.616174391662110358e+37 -5.075487416692827658e-01 4.643204266005019898e-01 -9.478420960057007960e-01
0.000000000000000000e+00 -2.530908943605126847e+37 1.736958384917841602e-01 4.765499245330496736e-01 -9.967834057825259997e-01
0.000000000000000000e+00 -2.517769371505061414e+37 -3.409600959464729186e-01 4.687072538477040085e-01 6.724397011548353120e-01
0.000000000000000000e+00 -2.044232705044885261e+37 1.114133741600169536e-01 4.804561922260269791e-01 1.919306948240762090e-02
0.000000000000000000e+00 -1.817989064187671987e+37 -1.180071467960603915e-01 4.791110990392962732e-01 3.651508971451797869e-01
0.000000000000000000e+00 -1.605359057555974676e+37 7.674115842982489610e-01 4.567006135468772987e-01 8.087176355879277523e-02
