weight logl c d e
0.000000000000000000e+00 -1.925502797794533976e+40 9.025330111952430956e-01 9.944047615665535522e-01 6.960839165264813833e-01
0.000000000000000000e+00 -1.802844590972388081e+40 8.937228146116368288e-01 9.941551548361726720e-01 1.180407919436422537e-01
0.000000000000000000e+00 -1.639232935953224712e+40 8.682509678314108692e-01 9.946023275967590394e-01 4.508732117446052623e-01
0.000000000000000000e+00 -1.182572427740318362e+40 4.673768736236949550e-02 9.860127446315611888e-01 8.327675656072547339e-01
0.000000000000000000e+00 -1.118963070381474626e+40 2.538160087365018969e-01 9.995053526323078863e-01 2.777418417254851057e-01
0.000000000000000000e+00 -1.067845694477350103e+40 2.046625079910048273e-01 9.947494265966320137e-01 5.477476034321687726e-01
0.000000000000000000e+00 -5.789374898216569250e+39 9.564267428689932071e-02 9.803868895173787346e-01 9.559358222400954341e-01
0.000000000000000000e+00 -5.215211034311292547e+39 9.045615013775974989e-01 9.791658887333325456e-01 3.202584200652869306e-01
0.000000000000000000e+00 -4.601817258887247953e+39 6.852049493168010930e-02 9.762253386930681565e-01 8.982488667157063622e-01
0.000000000000000000e+00 -4.255932364233714801e+39 6.591584375218306757e-01 9.984135634287168992e-01 1.408712154622671076e-02
0.000000000000000000e+00 -3.503247251920888612e+39 6.491292883194759167e-01 9.976674827705358517e-01 2.924503581935060659e-01
0.000000000000000000e+00 -3.291595982811472529e+39 1.143557802641131937e-01 9.749462108747373179e-01 7.548656771429896883e-01
0.000000000000000000e+00 -3.023192514918527095e+39 1.730474630247278434e-01 9.777846871699763520e-01 6.465462829921162502e-01
0.000000000000000000e+00 -3.006278933089756765e+39 3.548761404495957006e-01 9.965268247989560457e-01 2.529704983061673573e-01
0.000000000000000000e+00 -2.977342389027828497e+39 5.322984517698969853e-02 9.703769646303772589e-01 1.142771177183525833e-01
0.000000000000000000e+00 -2.780605641152781429e+39 8.251914667796299563e-01 9.769412537681432251e-01 7.943769322105845854e-01
0.000000000000000000e+00 -2.687805161632393121e+39 8.799719064650225464e-01 9.729428600331644361e-01 7.852610968722506524e-02
