sigma l a b
1.955252662779040362e-01 6.272316740752408304e-01 6.993627219787690308e-03 1.383626352580336061e-02
1.757016307165347180e-01 6.166012881505520404e-01 7.879164010413573782e-03 -1.902138507801698353e-02
1.926600567393396135e-01 6.565088596648660513e-01 8.301598213433812601e-03 -7.504057959289101021e-03
2.059777573503079884e-01 6.042123107331826004e-01 8.274429393994219006e-03 2.836813914870361941e-02
1.726657021732236341e-01 6.311800492784819250e-01 7.414885608017417196e-03 1.550283245978612001e-02
1.777935962557030680e-01 6.864889054152517600e-01 7.817389559448460756e-03 -2.180699300367749949e-02
2.004383121476888130e-01 6.339466068798578213e-01 7.058732375966068895e-03 -1.675050118513676800e-02
1.666954336375046364e-01 6.049497635568596987e-01 7.711619391419531622e-03 -2.783672927156133348e-02
1.982573185414328587e-01 5.810566333110027681e-01 6.358919691961638365e-03 4.167424720340617839e-02
2.001184650825002520e-01 6.008760441464590096e-01 6.855370306702787686e-03 -5.501910706867674250e-03
2.058530790091228913e-01 5.678821514418119776e-01 6.615465647295051821e-03 2.360419020035342541e-02
1.716489990372137009e-01 6.224634381002009942e-01 6.989087601931766314e-03 2.014604601996516919e-02
2.032785174596918598e-01 6.990441320270058823e-01 7.007501520376435700e-03 1.797691598810624569e-02
1.739761253584707068e-01 6.347108072653545596e-01 7.757043839256995421e-03 1.484623244780447493e-02
2.180943640246899295e-01 4.778657550578223612e-01 6.473335084153965246e-03 4.322152458293571087e-02
1.814723304152511818e-01 6.873549332472056461e-01 7.236240239270719243e-03 -8.909765249212497906e-03
2.048240366018528602e-01 5.784189401896854266e-01 6.742619549206164964e-03 1.750268619043815477e-02
1.686576616313115173e-01 6.755869566646459656e-01 7.504213153026462191e-03 -1.967354950593414031e-03
2.061286535753654725e-01 5.865750860884781925e-01 7.251713049897558216e-03 1.341429237906366367e-02
1.817763985388723136e-01 5.804515012033150123e-01 6.993940536214562909e-03 -5.094377892413959330e-03
1.901551901854851845e-01 5.259558609637335902e-01 7.716551290550335840e-03 -5.735476275679385338e-03
1.876787915423040742e-01 6.922215334372185946e-01 6.897728864843299945e-03 1.790988766682000133e-02
1.724393608976128034e-01 6.953155302768823098e-01 7.145371321421033206e-03 -1.006011205017021126e-02
1.844410432629279284e-01 5.703197527590646576e-01 7.947949818358987506e-03 1.653989143963219277e-02
1.889751103137766453e-01 6.426312311833199953e-01 7.600689547911577970e-03 1.031977738390477128e-03
1.947420215396651610e-01 6.210210242376158485e-01 6.821996771223658163e-03 1.241950395810498264e-02
1.969680361804441726e-01 5.958456582789537492e-01 7.855279820822028136e-03 1.323637765771401575e-02
2.004894890286564868e-01 6.343124329722169552e-01 7.959017328542962455e-03 -3.053940698290635858e-02
1.972113444761163237e-01 5.933793302198525632e-01 6.907467824190792471e-03 6.369854049631884507e-02
2.055567168396288391e-01 6.837412773340449945e-01 6.770756301436330060e-03 -1.392348452309932760e-02
1.799881478844344018e-01 6.885066212947359432e-01 7.258126569458900335e-03 -4.190823209776239899e-02
2.052395963635131881e-01 6.671806643779996104e-01 7.597809906901474564e-03 1.863773364007759170e-02
1.945169491116340299e-01 7.125769196456297472e-01 5.990969118139302663e-03 2.618507239762735139e-02
2.089526819965497328e-01 7.198729753492384420e-01 7.282066453640753667e-03 6.846066844815368313e-03
2.008407111202750173e-01 6.069732998440831029e-01 8.391975371346928336e-03 1.521938705641412426e-02
1.703777878602065754e-01 6.086828611061125827e-01 7.299918285207963875e-03 -1.626730900464989915e-02
1.712991135441516433e-01 5.655731193253772382e-01 6.273051597385850831e-03 2.103299006803815985e-02
1.784995052070672272e-01 6.465257281156249203e-01 6.216971141710769810e-03 3.790359961085965068e-02
1.654106993299284123e-01 5.611204621458077968e-01 7.272780332100423073e-03 3.411466774877736086e-02
1.855514547415597626e-01 5.472163407184624795e-01 7.356301891446058450e-03 -2.402083846774072384e-02
1.758048045976406959e-01 6.702249262238718641e-01 6.926956039409196131e-03 -2.111539841402509943e-02
1.771035770248749197e-01 5.981480435907106097e-01 7.234314724383773820e-03 -1.362899333408051916e-02
1.977168670925407712e-01 5.434251116039363616e-01 7.592736947540409953e-03 6.759159752218613093e-02
1.966413321234352640e-01 5.054476824900520082e-01 7.509191416098057181e-03 1.904574632157984837e-02
1.911375616717319315e-01 5.807773326653246082e-01 7.087420827545487523e-03 1.375022237859591101e-02
1.635111579448327579e-01 6.531603290718066557e-01 7.062423577691344379e-03 -3.840483664460725421e-02
1.824535386062950959e-01 6.334144488781801030e-01 7.324299910645072631e-03 -8.606108476842511124e-03
1.774309152148079716e-01 5.803442966057841268e-01 6.652232112664316355e-03 -2.893737797337525564e-02
1.787124824409913881e-01 6.834361698460791334e-01 7.345900694409004950e-03 1.565197467461887371e-02
1.920619385433531001e-01 6.265886556928501605e-01 6.998365876663248386e-03 -2.752777210671530916e-02
1.659678308300572558e-01 6.916984280710631872e-01 7.048500310816233072e-03 -1.452107547361869422e-02
2.429370764282655915e-01 5.416481519615579110e-01 6.979124524639265803e-03 3.630121771179117829e-02
2.158355034508760151e-01 5.101356192203254647e-01 7.459462010722048286e-03 -2.267794862293803781e-02
1.768886315682640653e-01 6.043363143260218617e-01 7.726394732928340559e-03 5.135784561476341992e-04
1.916090762246261958e-01 6.198203663342167768e-01 6.925571233777218227e-03 4.325695233601667411e-02
1.835141854560420616e-01 6.064285073076544075e-01 6.699946350184782240e-03 1.220004227107107653e-02
2.073664047412002998e-01 6.778746893704162835e-01 7.011592548826620086e-03 3.088193763532220970e-02
1.771828048284513624e-01 6.957043004721897850e-01 7.190546022156130146e-03 3.643745767840700367e-02
1.863301713784333846e-01 6.108001101380283737e-01 6.873212413260276765e-03 7.213729503485444283e-02
1.996202522342802044e-01 5.721936467103836410e-01 7.297885071594699402e-03 2.385299179460176333e-03
1.879935576947513176e-01 6.342106595999273955e-01 5.980218992738352279e-03 4.594904014914247270e-02
1.914087402262366899e-01 6.632650664750289193e-01 7.202459439536582075e-03 1.233250032553723230e-02
1.926600567393396135e-01 6.565088596648660513e-01 8.301598213433812601e-03 -7.504057959289101021e-03
2.111150932827458304e-01 6.122664920456111215e-01 6.799131637001479267e-03 -3.059756305203409354e-02
1.654929247723421759e-01 5.780196344037904499e-01 7.429757275618106838e-03 2.286324317032928377e-02
1.956240162038767882e-01 6.459222623727349788e-01 6.590621738762479642e-03 5.432155525754822634e-03
1.740415585860132786e-01 6.814501939676026465e-01 6.893471242341450700e-03 -6.641188583876633800e-03
1.932759803507340390e-01 5.737338473396671468e-01 6.942848502000296962e-03 4.351387175823751008e-02
1.784195334045111658e-01 6.655373516644438325e-01 7.189484336980245249e-03 4.998538032557897637e-02
2.033120427009039999e-01 6.519956037585765696e-01 7.062457345902918571e-03 5.001047552411375108e-02
1.773286474080712216e-01 5.747851331047860723e-01 7.471492132352333670e-03 -1.762278468364630868e-02
1.717435936884266767e-01 6.012817695648621230e-01 7.301718851674153521e-03 3.810215359703050808e-03
1.770299722801039477e-01 6.082137897649044778e-01 7.326867346296894734e-03 -1.155586813919673439e-02
1.821193554446949026e-01 6.402776978692631404e-01 7.528815739175562238e-03 -2.489190252226780586e-02
