weight logl sigma l a b
0.000000000000000000e+00 -7.050572812389814062e+05 1.009220399134869162e-03 1.436511120563888788e+01 -4.284667625336851388e-02 -1.433169573243262107e+00
0.000000000000000000e+00 -5.128383079612150323e+05 3.932044227176412221e-03 9.673760134751690387e+00 4.926047485624372724e-02 1.454762778497717068e+00
0.000000000000000000e+00 -4.496679136830741772e+05 4.493197931341286200e-03 7.207029675691936532e+00 3.933099390091542025e-02 1.797617418077167351e+00
0.000000000000000000e+00 -4.216812238060195232e+05 2.726162260779585456e-02 5.445190224853122984e+00 -4.410760055351006792e-02 -1.566188379992320634e+00
0.000000000000000000e+00 -3.689840755716137355e+05 2.213821481320765727e-03 1.903492919233080372e+01 3.939073180421034936e-02 1.431198707687496796e+00
0.000000000000000000e+00 -3.273685441166690434e+05 1.204947768722242074e-02 1.515348605542600247e+01 3.688348573764939353e-02 1.611026607802189758e+00
0.000000000000000000e+00 -2.297012468523169518e+05 4.234872694105074054e-02 1.236069839370899537e+01 -3.617215132232202285e-02 -1.762600998380051465e+00
0.000000000000000000e+00 -2.152042249918170273e+05 4.335892022979248583e-02 1.019638136284274665e+01 -3.096166625610674572e-02 -1.985091635025125534e+00
0.000000000000000000e+00 -2.148550734075582586e+05 2.132943344342230763e-02 1.020893024879863553e+01 -4.326276747742196366e-02 2.876183261764584387e-01
0.000000000000000000e+00 -1.861196337520085508e+05 3.287951153761203837e-02 4.317573232068479427e+00 -3.544753087413602538e-02 -7.647241519360239437e-01
0.000000000000000000e+00 -1.773253629779190815e+05 4.898330091040303813e-02 1.414082237039743006e+01 -4.904106882168022402e-02 -7.488774990979885082e-01
0.000000000000000000e+00 -1.555901160343925003e+05 3.439113807774596410e-02 1.560367274556156758e+01 -2.997295164104303578e-02 -9.004913887013956675e-01
0.000000000000000000e+00 -1.488523758934434154e+05 1.734974050210646990e-02 4.400846421205162784e+00 -4.457675972658751290e-02 1.735282552655986521e+00
0.000000000000000000e+00 -1.383799210798329150e+05 3.225591495049529023e-03 5.455886952393043110e+00 -1.799725673984475804e-02 -3.822515272201201242e-01
0.000000000000000000e+00 -1.346403811597505701e+05 4.478786932397105236e-02 1.310187073004096803e+01 -4.017207031496386471e-02 -4.999878858104889190e-01
0.000000000000000000e+00 -1.229078812919119810e+05 3.415518263356620565e-04 4.890376482104361600e+00 -3.615825706595282574e-02 1.597859474895808596e+00
0.000000000000000000e+00 -1.208937827518240229e+05 1.042940469010178450e-02 1.044445869366850133e-01 -3.107198917693774348e-02 -7.027311345760813843e-01
0.000000000000000000e+00 -1.083468543386284146e+05 4.652143816299270096e-02 9.612724294536823422e+00 -3.812332595541637753e-02 -3.028546519866757158e-01
0.000000000000000000e+00 -1.056477347816485708e+05 7.143383971803918264e-02 4.270444708761152341e+00 4.882133415880299254e-02 1.936433805841340838e+00
0.000000000000000000e+00 -1.016639507779488631e+05 5.896996204657656282e-02 3.444090476263357292e+00 -2.364842019609757554e-02 -1.784377954726545923e+00
0.000000000000000000e+00 -9.090759565229236614e+04 1.123543084975675566e-02 9.721355109462606947e+00 -2.653524602531850615e-02 7.110372675156937383e-01
0.000000000000000000e+00 -8.793272416459443048e+04 5.137045054747135797e-02 1.942806212356178008e+01 -9.695390135745350635e-03 -1.917146100827175292e+00
0.000000000000000000e+00 -8.568473755151381192e+04 2.885764537330282042e-02 5.009389191160296129e+00 5.949528237557788479e-03 -1.815512989677011912e+00
0.000000000000000000e+00 -8.326098755450190220e+04 1.028327736601875042e-02 1.439856565575453651e+01 -2.966772032015847771e-02 1.521081152001691805e+00
0.000000000000000000e+00 -8.245820241104421439e+04 7.360897008346434234e-02 1.400649993831061124e+01 4.629429312488195225e-02 1.679064635097480274e+00
0.000000000000000000e+00 -7.637006730107803014e+04 3.062749694856314875e-03 1.264123230008037169e+01 4.646942170345703949e-02 -1.977114610270395811e+00
0.000000000000000000e+00 -7.564750084527482977e+04 5.723854097067826441e-02 9.349760047513397510e+00 -1.691147189789510286e-02 -1.593041938554409231e+00
0.000000000000000000e+00 -7.448093953277288529e+04 6.493022233235301588e-02 5.093983429995434520e+00 -4.641383956748116463e-02 4.723821221553525795e-01
0.000000000000000000e+00 -7.399316079263025313e+04 2.201897672839658870e-02 2.502729170747928222e+00 -3.032182462767256739e-02 1.643726057791621731e+00
0.000000000000000000e+00 -6.942142198778312013e+04 6.757667564895508683e-02 6.419854416118151441e+00 4.274076667426017495e-02 1.327853416159816557e+00
0.000000000000000000e+00 -6.779752154815572430e+04 6.404013309319833702e-03 1.851387576894032438e+00 -1.378416795402161860e-02 1.911544242843870478e+00
0.000000000000000000e+00 -6.487114142456835543e+04 2.132825234376500845e-02 6.595886593317150215e+00 -4.063659884695404456e-03 1.848873389245222931e+00
0.000000000000000000e+00 -6.263840542129286769e+04 1.899988968445298632e-02 1.108660372712444442e+00 -2.763158739137919900e-02 1.505031250302726331e+00
0.000000000000000000e+00 -5.794261142918890255e+04 8.991031570971541598e-02 5.946254427118291552e+00 -4.430347732252052501e-02 -6.539032933620392285e-01
0.000000000000000000e+00 -5.787905269246910029e+04 7.907237733579886019e-02 8.545238042570259651e+00 -2.405448979711498694e-02 -1.611795331224928685e+00
0.000000000000000000e+00 -5.456403971398642170e+04 4.694292098878305453e-02 1.387089102812610264e+01 4.690801005078298891e-02 -1.906183472131936618e+00
0.000000000000000000e+00 -5.345961395319167059e+04 1.314620571853553077e-02 4.524824251223897420e+00 -8.405791407933432824e-04 1.520337330317099944e+00
0.000000000000000000e+00 -5.286721496552963072e+04 3.165409677106656439e-02 9.985825119843649844e+00 2.342267637038537853e-02 -1.958305929157218905e+00
0.000000000000000000e+00 -5.277326253802535211e+04 1.832560777049618839e-02 1.887219618853599812e+01 -1.906727492374966915e-02 4.641536904155452170e-01
0.000000000000000000e+00 -5.274430885687135742e+04 1.068097030164516514e-02 2.843134342059658870e+00 1.578712329923556701e-02 -1.494566523319747375e+00
0.000000000000000000e+00 -5.226486486851961672e+04 8.385307276002207377e-02 1.327149876687847563e+00 -4.905036492635566486e-02 1.818803331556881453e+00
0.000000000000000000e+00 -5.222533934600193606e+04 2.623727962268074254e-02 1.086841785479791334e+01 -2.259929909957878597e-02 5.886681474991970475e-01
0.000000000000000000e+00 -5.168662207723207393e+04 3.181467431379414457e-02 1.158328194136326772e+01 1.015028322992050924e-04 -1.204326206587394754e+00
0.000000000000000000e+00 -5.084442805027773284e+04 2.426031240082737739e-02 1.424072811187451215e+00 3.996844224446118032e-02 -1.831466368252278265e+00
