weight logl sigma l a b
0.000000000000000000e+00 -7.050572812389814062e+05 1.009220399134869162e-03 7.182555602819443719e-01 7.153323746631490287e-02 1.417076066891844732e-01
0.000000000000000000e+00 -5.128383079612150323e+05 3.932044227176412221e-03 4.836880067375844972e-01 9.926047485624373001e-01 8.636906946244292671e-01
0.000000000000000000e+00 -4.496679136830741772e+05 4.493197931341286200e-03 3.603514837845968044e-01 8.933099390091542302e-01 9.494043545192918376e-01
0.000000000000000000e+00 -4.216812238060195232e+05 2.726162260779585456e-02 2.722595112426561270e-01 5.892399446489937631e-02 1.084529050019198415e-01
0.000000000000000000e+00 -3.689840755716137355e+05 2.213821481320765727e-03 9.517464596165401414e-01 8.939073180421034381e-01 8.577996769218741990e-01
0.000000000000000000e+00 -3.273685441166690434e+05 1.204947768722242074e-02 7.576743027713001011e-01 8.688348573764939076e-01 9.027566519505474396e-01
0.000000000000000000e+00 -2.297012468523169518e+05 4.234872694105074054e-02 6.180349196854497684e-01 1.382784867767797854e-01 5.934975040498713383e-02
0.000000000000000000e+00 -2.152042249918170273e+05 4.335892022979248583e-02 5.098190681421372883e-01 1.903833374389325428e-01 3.727091243718616553e-03
0.000000000000000000e+00 -2.148550734075582586e+05 2.132943344342230763e-02 5.104465124399317766e-01 6.737232522578040506e-02 5.719045815441146097e-01
0.000000000000000000e+00 -1.861196337520085508e+05 3.287951153761203837e-02 2.158786616034239492e-01 1.455246912586397601e-01 3.088189620159940141e-01
0.000000000000000000e+00 -1.773253629779190815e+05 4.898330091040303813e-02 7.070411185198715032e-01 9.589311783197773664e-03 3.127806252255028729e-01
0.000000000000000000e+00 -1.555901160343925003e+05 3.439113807774596410e-02 7.801836372780783790e-01 2.002704835895696700e-01 2.748771528246510831e-01
0.000000000000000000e+00 -1.488523758934434154e+05 1.734974050210646990e-02 2.200423210602581170e-01 5.423240273412488488e-02 9.338206381639966303e-01
0.000000000000000000e+00 -1.383799210798329150e+05 3.225591495049529023e-03 2.727943476196521555e-01 3.200274326015524196e-01 4.044371181949699690e-01
0.000000000000000000e+00 -1.346403811597505701e+05 4.478786932397105236e-02 6.550935365020483792e-01 9.827929685036140839e-02 3.750030285473777703e-01
0.000000000000000000e+00 -1.229078812919119810e+05 3.415518263356620565e-04 2.445188241052180800e-01 1.384174293404717426e-01 8.994648687239521490e-01
0.000000000000000000e+00 -1.208937827518240229e+05 1.042940469010178450e-02 5.222229346834250663e-03 1.892801082306225791e-01 3.243172163559796539e-01
0.000000000000000000e+00 -1.083468543386284146e+05 4.652143816299270096e-02 4.806362147268411489e-01 1.187667404458362386e-01 4.242863370033310710e-01
0.000000000000000000e+00 -1.056477347816485708e+05 7.143383971803918264e-02 2.135222354380575949e-01 9.882133415880298699e-01 9.841084514603352096e-01
0.000000000000000000e+00 -1.016639507779488631e+05 5.896996204657656282e-02 1.722045238131678646e-01 2.635157980390242516e-01 5.390551131836351928e-02
0.000000000000000000e+00 -9.090759565229236614e+04 1.123543084975675566e-02 4.860677554731303029e-01 2.346475397468149593e-01 6.777593168789234346e-01
0.000000000000000000e+00 -8.793272416459443048e+04 5.137045054747135797e-02 9.714031061780890042e-01 4.030460986425464798e-01 2.071347479320617690e-02
0.000000000000000000e+00 -8.568473755151381192e+04 2.885764537330282042e-02 2.504694595580148064e-01 5.594952823755778848e-01 4.612175258074702189e-02
0.000000000000000000e+00 -8.326098755450190220e+04 1.028327736601875042e-02 7.199282827877268032e-01 2.033227967984152507e-01 8.802702880004229513e-01
0.000000000000000000e+00 -8.245820241104421439e+04 7.360897008346434234e-02 7.003249969155305177e-01 9.629429312488194670e-01 9.197661587743700684e-01
0.000000000000000000e+00 -7.637006730107803014e+04 3.062749694856314875e-03 6.320616150040185843e-01 9.646942170345703671e-01 5.721347432401047151e-03
0.000000000000000000e+00 -7.564750084527482977e+04 5.723854097067826441e-02 4.674880023756698977e-01 3.308852810210489714e-01 1.017395153613976921e-01
0.000000000000000000e+00 -7.448093953277288529e+04 6.493022233235301588e-02 2.546991714997717260e-01 3.586160432518836760e-02 6.180955305388381449e-01
0.000000000000000000e+00 -7.399316079263025313e+04 2.201897672839658870e-02 1.251364585373964111e-01 1.967817537232743330e-01 9.109315144479054327e-01
0.000000000000000000e+00 -6.942142198778312013e+04 6.757667564895508683e-02 3.209927208059075721e-01 9.274076667426016662e-01 8.319633540399541394e-01
0.000000000000000000e+00 -6.779752154815572430e+04 6.404013309319833702e-03 9.256937884470162192e-02 3.621583204597838002e-01 9.778860607109676195e-01
0.000000000000000000e+00 -6.487114142456835543e+04 2.132825234376500845e-02 3.297943296658575330e-01 4.593634011530459693e-01 9.622183473113057328e-01
0.000000000000000000e+00 -6.263840542129286769e+04 1.899988968445298632e-02 5.543301863562222209e-02 2.236841260862080238e-01 8.762578125756815828e-01
0.000000000000000000e+00 -5.794261142918890255e+04 8.991031570971541598e-02 2.973127213559145776e-01 5.696522677479476382e-02 3.365241766594901929e-01
0.000000000000000000e+00 -5.787905269246910029e+04 7.907237733579886019e-02 4.272619021285130048e-01 2.594551020288501375e-01 9.705116719376782886e-02
0.000000000000000000e+00 -5.456403971398642170e+04 4.694292098878305453e-02 6.935445514063051098e-01 9.690801005078298891e-01 2.345413196701584546e-02
0.000000000000000000e+00 -5.345961395319167059e+04 1.314620571853553077e-02 2.262412125611948932e-01 4.915942085920665949e-01 8.800843325792749861e-01
0.000000000000000000e+00 -5.286721496552963072e+04 3.165409677106656439e-02 4.992912559921824922e-01 7.342267637038537575e-01 1.042351771069527366e-02
0.000000000000000000e+00 -5.277326253802535211e+04 1.832560777049618839e-02 9.436098094267998393e-01 3.093272507625033363e-01 6.160384226038863043e-01
