a b
1.013618273061208525e-02 -9.519374638427846591e-02
1.020103689410345460e-02 -9.429200229343503992e-02
9.947013143625858811e-03 -9.099405079423772413e-02
1.023307090444357248e-02 -9.730978109374444074e-02
9.990076977584229356e-03 -8.221461072549240967e-02
1.010811093494902446e-02 -9.268126423748124232e-02
1.016909270856596048e-02 -9.412777764290480853e-02
1.006670979733845922e-02 -8.867039556996503258e-02
1.018917025280138139e-02 -9.418350723812163316e-02
1.015695242598899789e-02 -9.579593706320421731e-02
1.010938734643619663e-02 -8.738005149000538374e-02
1.003481116490876485e-02 -8.847587948970470073e-02
1.007214304307170460e-02 -9.349851155302291161e-02
1.000494819798617568e-02 -9.270173023208982954e-02
1.027148694546518165e-02 -1.028217771201653807e-01
1.022001363405833363e-02 -1.005263149737649631e-01
1.010600148539080034e-02 -9.021865781634419434e-02
1.018331885883433374e-02 -9.295077394160755624e-02
1.014383803592443234e-02 -8.895548343024217708e-02
1.019240724604282555e-02 -9.184031968276840097e-02
1.013086405576635318e-02 -9.126867511676484135e-02
1.014983873643487966e-02 -9.229888012080822435e-02
1.003130987940432928e-02 -8.474147417910615765e-02
1.003290375257379768e-02 -8.565880326025054892e-02
1.005764811683297622e-02 -8.741275046377250391e-02
1.004015577703393225e-02 -9.314459552503095985e-02
1.007536556031596309e-02 -8.948179578291326486e-02
1.004889323808544344e-02 -9.006807828068130739e-02
1.002097541519975099e-02 -8.475831961626845157e-02
9.992363063267249712e-03 -8.665655383278969559e-02
9.962433277917071006e-03 -8.531813026587720117e-02
1.008184695400320130e-02 -9.250056143522900065e-02
9.979119443182506155e-03 -8.968916460427855952e-02
1.009547358165187314e-02 -9.421271617102089380e-02
1.018562634212025891e-02 -9.526990952494474030e-02
1.035534855386108927e-02 -1.035842625323757371e-01
1.020072696748854091e-02 -9.438705363929789094e-02
1.016026117804223750e-02 -8.824948286517519946e-02
1.005362816261322345e-02 -9.102881431488163422e-02
1.010289098896177684e-02 -9.212468132443607516e-02
1.005325611334281083e-02 -8.977113790677715421e-02
9.984733496955777721e-03 -8.863540371546640984e-02
1.007799071482905207e-02 -8.724485223068056960e-02
1.014606504772198881e-02 -8.779371920142953201e-02
1.036319069479278016e-02 -1.045149368705695636e-01
1.008217581192556722e-02 -8.798302979213734609e-02
1.013653845970582251e-02 -9.557031002482840876e-02
1.008705797314481817e-02 -8.834714850455172019e-02
1.006923018706976786e-02 -9.606226780901572226e-02
