logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.000000000000000000e+03 -9.735479283484421903e+05 -9.735548366036794614e+05 1.032000000000000028e+00
-9.735548366036794614e+05 nan -1.000000000000000021e-03 1.000000000000000000e+03 -9.351723709926627344e+05 -9.351792802479000529e+05 5.460000000000000409e-01
-9.351792802479000529e+05 1.891980971866471009e+04 -2.000000000000000042e-03 1.000000000000000000e+03 -9.322153395263273269e+05 -9.322222497815646930e+05 1.374000000000000110e+00
-9.322222497815646930e+05 1.512352478119387888e+04 -3.000000000000000062e-03 1.000000000000000000e+03 -9.286261180527051911e+05 -9.286330293079424882e+05 1.497999999999999998e+00
-9.286330293079424882e+05 1.208643027189441636e+04 -4.000000000000000083e-03 1.000000000000000000e+03 -8.760261470111225499e+05 -8.760330592663598945e+05 3.400000000000000244e-02
-8.760330592663598945e+05 2.523478662312765664e+04 -5.000000000000000104e-03 1.000000000000000000e+03 -8.537947817496777279e+05 -8.538016950049150037e+05 4.359999999999999987e-01
-8.538016950049150037e+05 1.111573521686435197e+04 -6.000000000000000125e-03 1.000000000000000000e+03 -8.449625288845668547e+05 -8.449694431398041779e+05 6.119999999999999885e-01
-8.449694431398041779e+05 3.291204067386581755e+03 -7.000000000000000146e-03 1.000000000000000000e+03 -8.435783129479286727e+05 -8.435852282031660434e+05 7.379999999999999893e-01
-8.435852282031660434e+05 2.758728030384388148e+03 -8.000000000000000167e-03 1.000000000000000000e+03 -8.064759903143794509e+05 -8.064829065696167527e+05 7.780000000000000249e-01
-8.064829065696167527e+05 1.859157358029428360e+04 -9.000000000000001055e-03 1.000000000000000000e+03 -8.056619519027391216e+05 -8.056688691579764709e+05 1.439999999999999947e+00
-8.056688691579764709e+05 1.436264929060052054e+04 -1.000000000000000194e-02 1.000000000000000000e+03 -8.029360541193567915e+05 -8.029429723745940719e+05 5.739999999999999547e-01
-8.029429723745940719e+05 1.146871452605667037e+04 -1.100000000000000283e-02 1.000000000000000000e+03 -7.927735547131543281e+05 -7.927804739683916559e+05 7.880000000000000338e-01
-7.927804739683916559e+05 9.460541009720644379e-01 -1.200000000000000372e-02 1.000000000000000000e+03 -7.856496069557575975e+05 -7.856565272109948564e+05 1.643999999999999906e+00
-7.856565272109948564e+05 3.511519309234382490e+03 -1.300000000000000461e-02 1.000000000000000000e+03 -7.712635989566653734e+05 -7.712705202119026799e+05 6.720000000000000417e-01
-7.712705202119026799e+05 6.845211621527148964e+03 -1.400000000000000550e-02 1.000000000000000000e+03 -7.705618680976798059e+05 -7.705687903529171599e+05 5.360000000000000320e-01
-7.705687903529171599e+05 3.039985844689869623e+02 -1.500000000000000638e-02 1.000000000000000000e+03 -7.600990604980201460e+05 -7.601059837532574311e+05 5.100000000000000089e-01
-7.601059837532574311e+05 4.932400004309751239e+03 -1.600000000000000727e-02 1.000000000000000000e+03 -7.424209652354747523e+05 -7.424278894907120848e+05 1.199999999999999956e+00
-7.424278894907120848e+05 1.009571860769017803e+04 -1.700000000000000816e-02 1.000000000000000000e+03 -7.329705984761182917e+05 -7.329775237313555554e+05 6.380000000000000115e-01
-7.329775237313555554e+05 7.842451877190448613e+03 -1.800000000000000905e-02 1.000000000000000000e+03 -7.295079353605324868e+05 -7.295148616157697979e+05 1.155999999999999917e+00
