weight logl a b
0.000000000000000000e+00 -9.735479283484421903e+05 -4.972295152865362916e-02 -1.817057604884867672e+00
0.000000000000000000e+00 -9.351723709926627344e+05 -4.633341967466330508e-02 -1.918808567165264378e+00
0.000000000000000000e+00 -9.322153395263273269e+05 -4.828304134109395740e-02 -1.789579898798875135e+00
0.000000000000000000e+00 -9.286261180527051911e+05 -4.661417835678770966e-02 -1.882859210612928269e+00
0.000000000000000000e+00 -8.760261470111225499e+05 -4.353977326373303230e-02 -1.919923272523472502e+00
0.000000000000000000e+00 -8.537947817496777279e+05 -4.733656389108520379e-02 -1.618218678641153208e+00
0.000000000000000000e+00 -8.449625288845668547e+05 -4.567643490037853748e-02 -1.695682203647719266e+00
0.000000000000000000e+00 -8.435783129479286727e+05 -4.684716609595447612e-02 -1.618111188851316662e+00
0.000000000000000000e+00 -8.064759903143794509e+05 -4.050621098086485544e-02 -1.897939881392632699e+00
0.000000000000000000e+00 -8.056619519027391216e+05 -4.937593422743194460e-02 -1.339382588900977833e+00
0.000000000000000000e+00 -8.029360541193567915e+05 -4.746216676964892106e-02 -1.453668618613024321e+00
0.000000000000000000e+00 -7.927735547131543281e+05 -4.715358971916615988e-02 -1.441328751926111984e+00
0.000000000000000000e+00 -7.856496069557575975e+05 -4.310632801701488881e-02 -1.673947903847227359e+00
0.000000000000000000e+00 -7.712635989566653734e+05 -3.817787418286368306e-02 -1.931242964514543470e+00
0.000000000000000000e+00 -7.705618680976798059e+05 -4.863149459943786473e-02 -1.275052188831154343e+00
0.000000000000000000e+00 -7.600990604980201460e+05 -3.807205914764042604e-02 -1.903015695523739836e+00
0.000000000000000000e+00 -7.424209652354747523e+05 -4.619879510738719719e-02 -1.340226333267535708e+00
0.000000000000000000e+00 -7.329705984761182917e+05 -3.875779499351499763e-02 -1.775819448627323105e+00
0.000000000000000000e+00 -7.295079353605324868e+05 -4.219797458589559513e-02 -1.551834818089000478e+00
0.000000000000000000e+00 -7.011694780217284570e+05 -4.732901639674315375e-02 -1.128407609534989753e+00
0.000000000000000000e+00 -6.742417284727144288e+05 -4.364295374095031321e-02 -1.275129698586292104e+00
0.000000000000000000e+00 -6.705870437770697754e+05 -3.893760367854585264e-02 -1.560059744757921418e+00
0.000000000000000000e+00 -6.668882550628327299e+05 -3.971804425044263287e-02 -1.498872013152924954e+00
0.000000000000000000e+00 -6.618616457570989151e+05 -4.362922605884050203e-02 -1.233067427111526726e+00
0.000000000000000000e+00 -6.427951831352201989e+05 -3.101161044110050183e-02 -1.947045715195943494e+00
0.000000000000000000e+00 -6.398591483874244150e+05 -3.774005254120520875e-02 -1.529550707933041487e+00
0.000000000000000000e+00 -6.364125516200420680e+05 -4.667305180784320218e-02 -9.425926765089140957e-01
0.000000000000000000e+00 -6.351880131281490903e+05 -3.958895913448508275e-02 -1.397580474302293929e+00
0.000000000000000000e+00 -6.288484749854151160e+05 -3.476327005195974096e-02 -1.674715974504207949e+00
0.000000000000000000e+00 -6.178354302939558402e+05 -4.397720693243457879e-02 -1.053077008558513050e+00
0.000000000000000000e+00 -6.030998117795648286e+05 4.512803527795415659e-02 1.985962017604556262e+00
0.000000000000000000e+00 -6.012833929835836170e+05 -4.578664637901974643e-02 -8.714365868348319388e-01
0.000000000000000000e+00 -6.008405332660601707e+05 -3.314490435739038399e-02 -1.675764634675434017e+00
0.000000000000000000e+00 -5.966352859440555330e+05 -4.630916521265827923e-02 -8.186337517159514299e-01
0.000000000000000000e+00 -5.942989477887069806e+05 -4.111498120077922147e-02 -1.153136489249559027e+00
0.000000000000000000e+00 -5.921408303572019795e+05 -3.874003474359105637e-02 -1.297453990302253501e+00
0.000000000000000000e+00 -5.831027078850424150e+05 4.580693046151794456e-02 1.878635967462295220e+00
0.000000000000000000e+00 -5.791672221872918308e+05 -3.233906222096977201e-02 -1.647861856845776352e+00
0.000000000000000000e+00 -5.750927675500330515e+05 -2.855300780212575301e-02 -1.859798419938436531e+00
0.000000000000000000e+00 -5.696469209665406961e+05 -2.856595833725724884e-02 -1.839762602197854591e+00
0.000000000000000000e+00 -5.693136745658958098e+05 -2.967361054601434095e-02 -1.772876861121258862e+00
0.000000000000000000e+00 -5.688984847174640745e+05 4.785696344666154345e-02 1.709832267235925851e+00
0.000000000000000000e+00 -5.681726546706644585e+05 -3.974470923563799829e-02 -1.144266336144317275e+00
0.000000000000000000e+00 -5.658102072970049921e+05 4.907925523490054565e-02 1.626801281375882979e+00
0.000000000000000000e+00 -5.646845770472467411e+05 -4.657079967482047334e-02 -6.765308370776645930e-01
0.000000000000000000e+00 -5.617950530536143342e+05 -3.631377991184151638e-02 -1.339068351893110798e+00
0.000000000000000000e+00 -5.611087093065667432e+05 -2.630641654496791715e-02 -1.941928199381937947e+00
0.000000000000000000e+00 -5.605641967772785574e+05 -3.788513324491267487e-02 -1.234945217659284555e+00
0.000000000000000000e+00 -5.605063873458498856e+05 4.528304850922618141e-02 1.829844733194236461e+00
0.000000000000000000e+00 -5.585798966796413297e+05 -3.657764541223762489e-02 -1.310450304789438913e+00
0.000000000000000000e+00 -5.562061410608555889e+05 -3.441083225138803769e-02 -1.437240824281681206e+00
0.000000000000000000e+00 -5.499922975201929221e+05 -3.622436973225348633e-02 -1.300516392611283045e+00
0.000000000000000000e+00 -5.385958244543812471e+05 -4.612026411903907830e-02 -6.023336932039282665e-01
0.000000000000000000e+00 -5.382888108758295421e+05 -4.332280413806018082e-02 -7.921616454159075005e-01
0.000000000000000000e+00 -5.379887143539956305e+05 -4.965597026209689346e-02 -3.508921958218680359e-01
0.000000000000000000e+00 -5.365086057912309188e+05 -3.214241779398258059e-02 -1.503877779650129920e+00
0.000000000000000000e+00 -5.352392003168620868e+05 -4.565287452496500503e-02 -6.208712437006167484e-01
0.000000000000000000e+00 -5.351182775939516723e+05 -4.108450892734660104e-02 -9.290511430889591971e-01
0.000000000000000000e+00 -5.348440533449092181e+05 -3.630436257890619356e-02 -1.237846879588716309e+00
0.000000000000000000e+00 -5.339555884730882244e+05 -3.398648031280712689e-02 -1.380269143980976221e+00
0.000000000000000000e+00 -5.333822685664340388e+05 -3.177303883742902540e-02 -1.514801670474164919e+00
0.000000000000000000e+00 -5.328458587472916115e+05 4.663154714943826273e-02 1.652084513685568634e+00
