weight logl a b
0.000000000000000000e+00 -9.735479283484421903e+05 2.770484713463750026e-03 4.573559877878308200e-02
0.000000000000000000e+00 -9.351723709926627344e+05 3.666580325336699087e-02 2.029785820868390545e-02
0.000000000000000000e+00 -9.322153395263273269e+05 1.716958658906042601e-02 5.260502530028121626e-02
0.000000000000000000e+00 -9.286261180527051911e+05 3.385821643212294507e-02 2.928519734676793274e-02
0.000000000000000000e+00 -8.760261470111225499e+05 6.460226736266971859e-02 2.001918186913187458e-02
0.000000000000000000e+00 -8.537947817496777279e+05 2.663436108914796208e-02 9.544533033971169811e-02
0.000000000000000000e+00 -8.449625288845668547e+05 4.323565099621462515e-02 7.607944908807018347e-02
0.000000000000000000e+00 -8.435783129479286727e+05 3.152833904045526658e-02 9.547220278717083453e-02
0.000000000000000000e+00 -8.064759903143794509e+05 9.493789019135145946e-02 2.551502965184182514e-02
0.000000000000000000e+00 -8.056619519027391216e+05 6.240657725680609502e-03 1.651543527747555418e-01
0.000000000000000000e+00 -8.029360541193567915e+05 2.537833230351083103e-02 1.365828453467439196e-01
0.000000000000000000e+00 -7.927735547131543281e+05 2.846410280833844286e-02 1.396678120184720040e-01
0.000000000000000000e+00 -7.856496069557575975e+05 6.893671982985116742e-02 8.151302403819316034e-02
0.000000000000000000e+00 -7.712635989566653734e+05 1.182212581713631971e-01 1.718925887136413255e-02
0.000000000000000000e+00 -7.705618680976798059e+05 1.368505400562136654e-02 1.812369527922114143e-01
0.000000000000000000e+00 -7.600990604980201460e+05 1.192794085235957535e-01 2.424607611906504090e-02
0.000000000000000000e+00 -7.424209652354747523e+05 3.801204892612808361e-02 1.649434166831160731e-01
0.000000000000000000e+00 -7.329705984761182917e+05 1.124220500648500654e-01 5.604513784316922376e-02
0.000000000000000000e+00 -7.295079353605324868e+05 7.802025414104407641e-02 1.120412954777498804e-01
0.000000000000000000e+00 -7.011694780217284570e+05 2.670983603256849026e-02 2.178980976162525618e-01
0.000000000000000000e+00 -6.742417284727144288e+05 6.357046259049692338e-02 1.812175753534269740e-01
0.000000000000000000e+00 -6.705870437770697754e+05 1.106239632145414875e-01 1.099850638105196454e-01
0.000000000000000000e+00 -6.668882550628327299e+05 1.028195574955736991e-01 1.252819967117687616e-01
0.000000000000000000e+00 -6.618616457570989151e+05 6.370773941159502129e-02 1.917331432221183185e-01
0.000000000000000000e+00 -6.427951831352201989e+05 1.898838955889949887e-01 1.323857120101412654e-02
0.000000000000000000e+00 -6.398591483874244150e+05 1.225994745879479542e-01 1.176123230167396283e-01
0.000000000000000000e+00 -6.364125516200420680e+05 3.326948192156797823e-02 2.643518308727714761e-01
0.000000000000000000e+00 -6.351880131281490903e+05 1.041104086551492003e-01 1.506048814244265177e-01
0.000000000000000000e+00 -6.288484749854151160e+05 1.523672994804026182e-01 8.132100637394801268e-02
0.000000000000000000e+00 -6.178354302939558402e+05 6.022793067565423986e-02 2.367307478603717374e-01
0.000000000000000000e+00 -6.030998117795648286e+05 9.512803527795414826e-01 9.964905044011390656e-01
